gene	group
2176	gbr.285.1	turquoise
2177	gbr.607.2	blue
2178	gbr.51.75	brown
2179	gbr.95.30	magenta
2180	gbr.172.36	grey
2181	gbr.12.56	grey
2182	gbr.18.43	grey
2183	gbr.119.48	grey
2184	gbr.50.93	yellow
2185	gbr.75.106	grey
2186	gbr.113.11	turquoise
2187	gbr.9.61	brown
2188	gbr.86.39	blue
2189	gbr.2.174	purple
2190	gbr.731.1	red
2191	gbr.308.11	blue
2192	gbr.58.10	green
2193	gbr.47.45	pink
2194	gbr.84.5	grey
2195	gbr.123.34	grey
2196	gbr.428.12	yellow
2197	gbr.436.6	black
2198	gbr.394.11	cyan
2199	gbr.357.6	blue
2200	gbr.35.75	blue
2201	gbr.174.24	blue
2202	gbr.49.25_gbr.49.26	grey
2203	gbr.49.38	pink
2204	gbr.326.15	blue
2205	gbr.131.42	grey
2206	gbr.495.4	yellow
2207	gbr.33.47	yellow
2208	gbr.18.23	grey
2209	gbr.72.22	green
2210	gbr.205.53	grey
2211	gbr.49.47	turquoise
2212	gbr.607.4	brown
2213	gbr.110.4	turquoise
2214	gbr.141.34	grey
2215	gbr.16.21	grey
2216	gbr.142.68	turquoise
2217	gbr.50.57	black
2218	gbr.221.2_gbr.221.3	red
2219	gbr.55.76	grey
2220	gbr.271.14	pink
2221	gbr.22.49	grey
2222	gbr.19.181	grey
2223	gbr.15.8	brown
2224	gbr.253.27	green
2225	gbr.62.34	brown
2226	gbr.121.4	brown
2227	gbr.98.64	pink
2228	gbr.7.107	grey
2229	gbr.53.29_gbr.53.30	turquoise
2230	gbr.183.54	blue
2231	gbr.213.18_gbr.213.19	green
2232	gbr.103.16_gbr.103.18	grey
2233	gbr.184.25	turquoise
2234	gbr.84.35_gbr.84.33_gbr.84.34	red
2235	gbr.154.44_gbr.154.46	grey
2236	gbr.144.33	yellow
2237	gbr.37.88	grey
2238	gbr.61.56	grey
2239	gbr.90.37	grey
2240	gbr.422.17	turquoise
2241	gbr.247.17	grey
2242	gbr.341.17	magenta
2243	gbr.312.4	turquoise
2244	gbr.63.70	turquoise
2245	gbr.12.41	red
2246	gbr.9.11	red
2247	gbr.24.7	grey
2248	gbr.249.12	blue
2249	gbr.119.44	grey
2250	gbr.34.82	brown
2251	gbr.1.134	yellow
2252	gbr.161.22	grey
2253	gbr.25.116	yellow
2254	gbr.105.20	yellow
2255	gbr.8.130	tan
2256	gbr.37.126_gbr.37.129	black
2257	gbr.398.3	tan
2258	gbr.214.12	brown
2259	gbr.64.78	red
2260	gbr.17.65	pink
2261	gbr.389.2	grey
2262	gbr.315.23	salmon
2263	gbr.168.11	blue
2264	gbr.430.5	purple
2265	gbr.417.10	brown
2266	gbr.76.24	brown
2267	gbr.128.44	red
2268	gbr.177.23	grey
2269	gbr.428.10	grey
2270	gbr.174.22	pink
2271	gbr.178.31	yellow
2272	gbr.596.4	grey
2273	gbr.68.36	grey
2274	gbr.42.4	cyan
2275	gbr.46.38	grey
2276	gbr.370.21	magenta
2277	gbr.411.13	grey
2278	gbr.231.12	grey
2279	gbr.134.19_gbr.134.20	grey
2280	gbr.139.51	blue
2281	gbr.50.16	grey
2282	gbr.309.19	blue
2283	gbr.58.8	red
2284	gbr.81.40	yellow
2285	gbr.81.206	red
2286	gbr.25.208	green
2287	gbr.229.18	grey
2288	gbr.156.24	grey
2289	gbr.264.38	grey
2290	gbr.25.95_gbr.25.96	grey
2291	gbr.18.25	green
2292	gbr.287.5	brown
2293	gbr.195.18_gbr.195.20	brown
2294	gbr.180.33	blue
2295	gbr.253.20	grey
2296	gbr.134.15	turquoise
2297	gbr.182.49	blue
2298	gbr.127.26	green
2299	gbr.176.12_gbr.176.13	turquoise
2300	gbr.12.15	grey
2301	gbr.25.94	tan
2302	gbr.498.13	grey
2303	gbr.59.33	grey
2304	gbr.110.33	green
2305	gbr.36.78	pink
2306	gbr.125.40	brown
2307	gbr.296.20	yellow
2308	gbr.90.74	blue
2309	gbr.99.35	grey
2310	gbr.377.3	yellow
2311	gbr.22.72	green
2312	gbr.28.55	grey
2313	gbr.369.16	grey
2314	gbr.88.4	grey
2315	gbr.450.3	blue
2316	gbr.22.18	brown
2317	gbr.127.28	greenyellow
2318	gbr.65.38	red
2319	gbr.247.23	grey
2320	gbr.25.167	grey
2321	gbr.70.52	turquoise
2322	gbr.213.16	grey
2323	gbr.81.132	grey
2324	gbr.90.33	grey
2325	gbr.24.95	turquoise
2326	gbr.124.55	green
2327	gbr.12.68	turquoise
2328	gbr.38.82	blue
2329	gbr.75.128	grey
2330	gbr.137.57	grey
2331	gbr.419.1_gbr.419.2	grey
2332	gbr.22.60	blue
2333	gbr.99.22	tan
2334	gbr.222.4	blue
2335	gbr.2.55	grey
2336	gbr.53.42_gbr.53.44	red
2337	gbr.86.38	grey
2338	gbr.101.7	grey
2339	gbr.32.3	grey
2340	gbr.23.50	grey
2341	gbr.113.5	grey
2342	gbr.200.6_gbr.200.7	grey
2343	gbr.16.60	purple
2344	gbr.418.10_gbr.418.11	greenyellow
2345	gbr.316.13_gbr.316.15	green
2346	gbr.94.49	tan
2347	gbr.58.231	cyan
2348	gbr.348.3	pink
2349	gbr.69.40	grey
2350	gbr.146.14	turquoise
2351	gbr.3.4	green
2352	gbr.207.3	green
2353	gbr.263.9	turquoise
2354	gbr.517.3	yellow
2355	gbr.2.65	blue
2356	gbr.9.121	blue
2357	gbr.25.121	yellow
2358	gbr.349.12	grey
2359	gbr.167.23	blue
2360	gbr.21.58	grey
2361	gbr.16.53	red
2362	gbr.30.25	grey
2363	gbr.153.2	grey
2364	gbr.245.2	grey
2365	gbr.95.29	magenta
2366	gbr.370.20	brown
2367	gbr.109.19	turquoise
2368	gbr.426.6	greenyellow
2369	gbr.113.23_gbr.113.24	cyan
2370	gbr.330.5	blue
2371	gbr.256.4	grey
2372	gbr.224.12	turquoise
2373	gbr.548.1	red
2374	gbr.11.163	magenta
2375	gbr.201.8_gbr.201.9	black
2376	gbr.61.35	brown
2377	gbr.298.12	grey
2378	gbr.153.51	grey
2379	gbr.81.81	pink
2380	gbr.3.18	blue
2381	gbr.50.4	yellow
2382	gbr.9.26_gbr.9.27	grey
2383	gbr.259.2	blue
2384	gbr.86.16	grey
2385	gbr.109.51	grey
2386	gbr.397.7	tan
2387	gbr.25.233	blue
2388	gbr.30.79	green
2389	gbr.190.10	grey
2390	gbr.64.92_gbr.64.94	brown
2391	gbr.87.32	salmon
2392	gbr.346.14	grey
2393	gbr.61.2	grey
2394	gbr.101.35	grey
2395	gbr.24.34	grey
2396	gbr.227.26	black
2397	gbr.265.11	turquoise
2398	gbr.331.5	grey
2399	gbr.76.108	grey
2400	gbr.205.16	grey
2401	gbr.67.37	grey
2402	gbr.41.32	blue
2403	gbr.126.32	red
2404	gbr.10.16	grey
2405	gbr.399.5	grey
2406	gbr.338.18	grey
2407	gbr.221.50	grey
2408	gbr.459.12	grey
2409	gbr.25.183	yellow
2410	gbr.88.49	turquoise
2411	gbr.5.119	green
2412	gbr.124.58	grey
2413	gbr.93.20_gbr.93.19	brown
2414	gbr.185.23	blue
2415	gbr.14.115	blue
2416	gbr.58.92	tan
2417	gbr.95.47	brown
2418	gbr.41.35	pink
2419	gbr.241.12	grey
2420	gbr.459.2	blue
2421	gbr.176.11	grey
2422	gbr.20.84_gbr.20.85	magenta
2423	gbr.321.8	grey
2424	gbr.134.42	grey
2425	gbr.145.9	purple
2426	gbr.362.17	grey
2427	gbr.414.5	grey
2428	gbr.345.17	green
2429	gbr.152.3	brown
2430	gbr.9.44	grey
2431	gbr.17.143_gbr.17.144	grey
2432	gbr.75.116	yellow
2433	gbr.551.3	turquoise
2434	gbr.46.85	grey
2435	gbr.7.11	greenyellow
2436	gbr.68.70	blue
2437	gbr.88.28	grey
2438	gbr.49.24	red
2439	gbr.240.7	grey
2440	gbr.143.1	blue
2441	gbr.270.19	blue
2442	gbr.94.59_gbr.94.60	red
2443	gbr.145.14	red
2444	gbr.59.45	green
2445	gbr.26.88	grey
2446	gbr.98.29	grey
2447	gbr.14.109	grey
2448	gbr.151.61	grey
2449	gbr.343.14	grey
2450	gbr.35.30	grey
2451	gbr.30.48	grey
2452	gbr.192.6	grey
2453	gbr.7.177	grey
2454	gbr.118.14	red
2455	gbr.139.66	grey
2456	gbr.11.32_gbr.11.34	grey
2457	gbr.93.2	grey
2458	gbr.132.21	brown
2459	gbr.117.42	grey
2460	gbr.75.46_gbr.75.47	turquoise
2461	gbr.2.31	red
2462	gbr.151.28_gbr.151.29	black
2463	gbr.25.144	grey
2464	gbr.32.50	turquoise
2465	gbr.23.86	grey
2466	gbr.189.4	green
2467	gbr.155.1	grey
2468	gbr.130.13	yellow
2469	gbr.96.33	cyan
2470	gbr.17.127	pink
2471	gbr.168.24_gbr.168.27	blue
2472	gbr.66.18	yellow
2473	gbr.405.3	grey
2474	gbr.381.26	brown
2475	gbr.171.7	green
2476	gbr.262.6	brown
2477	gbr.109.41	turquoise
2478	gbr.23.69	yellow
2479	gbr.9.115	grey
2480	gbr.145.28	green
2481	gbr.205.44	grey
2482	gbr.17.91	yellow
2483	gbr.394.7	grey
2484	gbr.566.2	green
2485	gbr.123.3	brown
2486	gbr.340.12	grey
2487	gbr.15.118	cyan
2488	gbr.24.86	grey
2489	gbr.137.63	grey
2490	gbr.183.33	red
2491	gbr.107.42	grey
2492	gbr.181.15	grey
2493	gbr.116.49	grey
2494	gbr.111.40	pink
2495	gbr.376.10	red
2496	gbr.180.27	grey
2497	gbr.337.6	grey
2498	gbr.228.1	grey
2499	gbr.173.15	yellow
2500	gbr.354.12	grey
2501	gbr.584.4	grey
2502	gbr.225.62	blue
2503	gbr.63.1	blue
2504	gbr.367.9	yellow
2505	gbr.183.75	black
2506	gbr.124.33	red
2507	gbr.255.23_gbr.255.24	greenyellow
2508	gbr.130.46	grey
2509	gbr.158.34	grey
2510	gbr.117.11	grey
2511	gbr.224.11	grey
2512	gbr.25.1	grey
2513	gbr.193.32	black
2514	gbr.103.44	red
2515	gbr.80.33	red
2516	gbr.174.31	grey
2517	gbr.166.3	grey
2518	gbr.94.51	grey
2519	gbr.279.16	grey
2520	gbr.72.117	red
2521	gbr.446.3	grey
2522	gbr.75.74	red
2523	gbr.9.97	brown
2524	gbr.147.23	grey
2525	gbr.248.3	red
2526	gbr.297.19	grey
2527	gbr.197.41	grey
2528	gbr.379.7	purple
2529	gbr.24.56	blue
2530	gbr.474.16	brown
2531	gbr.568.1	turquoise
2532	gbr.305.22	grey
2533	gbr.529.7	yellow
2534	gbr.41.89	yellow
2535	gbr.4.112	grey
2536	gbr.14.106	grey
2537	gbr.102.55	blue
2538	gbr.238.10	yellow
2539	gbr.70.35	grey
2540	gbr.43.51_gbr.43.52	grey
2541	gbr.106.27	blue
2542	gbr.234.19	grey
2543	gbr.1.149	grey
2544	gbr.431.9	purple
2545	gbr.40.124	grey
2546	gbr.314.33	grey
2547	gbr.218.32	green
2548	gbr.193.9	grey
2549	gbr.181.25	blue
2550	gbr.190.11	blue
2551	gbr.19.194	blue
2552	gbr.124.9	yellow
2553	gbr.130.31	grey
2554	gbr.114.29	brown
2555	gbr.160.10	grey
2556	gbr.16.23	grey
2557	gbr.334.6	grey
2558	gbr.477.5	blue
2559	gbr.2.69	brown
2560	gbr.75.70	pink
2561	gbr.232.49	grey
2562	gbr.64.22	grey
2563	gbr.85.39	grey
2564	gbr.379.1_gbr.379.4	grey
2565	gbr.139.48	grey
2566	gbr.477.3	grey
2567	gbr.148.31	blue
2568	gbr.218.46	yellow
2569	gbr.416.9	blue
2570	gbr.141.27	red
2571	gbr.2.112	green
2572	gbr.180.12	grey
2573	gbr.12.58	grey
2574	gbr.298.11	tan
2575	gbr.221.86	yellow
2576	gbr.313.25	grey
2577	gbr.107.24	turquoise
2578	gbr.21.4	turquoise
2579	gbr.58.83	grey
2580	gbr.266.5	blue
2581	gbr.33.86	green
2582	gbr.312.9	grey
2583	gbr.255.11	pink
2584	gbr.41.46	grey
2585	gbr.80.40	grey
2586	gbr.127.36	blue
2587	gbr.226.17	grey
2588	gbr.32.67	grey
2589	gbr.406.12	blue
2590	gbr.231.2_gbr.231.5	black
2591	gbr.317.4	blue
2592	gbr.56.56_gbr.56.55	turquoise
2593	gbr.7.122	grey
2594	gbr.174.14	grey
2595	gbr.234.14	grey
2596	gbr.42.71	cyan
2597	gbr.61.19	magenta
2598	gbr.16.59	grey
2599	gbr.214.3_gbr.214.4	red
2600	gbr.6.119	grey
2601	gbr.144.5	grey
2602	gbr.214.14	grey
2603	gbr.221.98	red
2604	gbr.237.26	black
2605	gbr.326.16	grey
2606	gbr.231.26	turquoise
2607	gbr.6.159	turquoise
2608	gbr.11.166	grey
2609	gbr.218.44	grey
2610	gbr.232.16	turquoise
2611	gbr.177.16	tan
2612	gbr.94.69	green
2613	gbr.81.37	blue
2614	gbr.500.1	green
2615	gbr.25.117_gbr.25.119	brown
2616	gbr.72.107	red
2617	gbr.117.36	grey
2618	gbr.257.2	brown
2619	gbr.31.57_gbr.31.58	cyan
2620	gbr.24.8	turquoise
2621	gbr.1.102	blue
2622	gbr.154.27	turquoise
2623	gbr.8.107	yellow
2624	gbr.111.54	grey
2625	gbr.143.11	red
2626	gbr.384.28	grey
2627	gbr.124.2	grey
2628	gbr.102.20	grey
2629	gbr.33.79	grey
2630	gbr.92.28	turquoise
2631	gbr.255.17	greenyellow
2632	gbr.58.205	blue
2633	gbr.130.28	grey
2634	gbr.282.30	brown
2635	gbr.60.30_gbr.60.31	grey
2636	gbr.73.30	pink
2637	gbr.323.4	grey
2638	gbr.11.36	grey
2639	gbr.14.88	cyan
2640	gbr.12.60	grey
2641	gbr.145.30	blue
2642	gbr.627.3	grey
2643	gbr.249.29	grey
2644	gbr.11.21	tan
2645	gbr.280.5	turquoise
2646	gbr.81.141	blue
2647	gbr.316.7	blue
2648	gbr.35.92_gbr.35.90	grey
2649	gbr.375.39	black
2650	gbr.174.36	grey
2651	gbr.144.44	grey
2652	gbr.66.6	grey
2653	gbr.111.50	greenyellow
2654	gbr.151.80	grey
2655	gbr.23.10	blue
2656	gbr.178.38	grey
2657	gbr.459.4	blue
2658	gbr.315.10	brown
2659	gbr.4.20	grey
2660	gbr.589.3	grey
2661	gbr.44.49_gbr.44.50	grey
2662	gbr.68.13	grey
2663	gbr.549.2	grey
2664	gbr.364.17	blue
2665	gbr.6.226_gbr.6.227	turquoise
2666	gbr.193.17	yellow
2667	gbr.338.14	green
2668	gbr.19.124	turquoise
2669	gbr.289.14	cyan
2670	gbr.87.26	grey
2671	gbr.282.21	blue
2672	gbr.25.108	red
2673	gbr.7.38	yellow
2674	gbr.357.14	salmon
2675	gbr.10.96	grey
2676	gbr.15.105	grey
2677	gbr.19.83	yellow
2678	gbr.19.174	grey
2679	gbr.86.50	brown
2680	gbr.237.24	brown
2681	gbr.372.13	turquoise
2682	gbr.153.47	blue
2683	gbr.71.12	grey
2684	gbr.185.3	blue
2685	gbr.480.4	blue
2686	gbr.1.246	turquoise
2687	gbr.223.19	black
2688	gbr.117.30	yellow
2689	gbr.151.53	pink
2690	gbr.65.19	black
2691	gbr.10.145	brown
2692	gbr.12.28	grey
2693	gbr.210.6	grey
2694	gbr.36.60	red
2695	gbr.85.2	grey
2696	gbr.142.84	grey
2697	gbr.7.148	yellow
2698	gbr.129.24	grey
2699	gbr.139.7	blue
2700	gbr.8.57	grey
2701	gbr.19.188	yellow
2702	gbr.56.74	grey
2703	gbr.326.6_gbr.326.7	red
2704	gbr.153.21	blue
2705	gbr.51.58	grey
2706	gbr.107.16	grey
2707	gbr.53.37	blue
2708	gbr.11.52	yellow
2709	gbr.181.3	turquoise
2710	gbr.460.4	yellow
2711	gbr.221.52	grey
2712	gbr.25.75	brown
2713	gbr.164.16	grey
2714	gbr.103.49	brown
2715	gbr.64.89_gbr.64.88	red
2716	gbr.1.182	blue
2717	gbr.117.8	grey
2718	gbr.33.87_gbr.33.88	turquoise
2719	gbr.24.43	turquoise
2720	gbr.167.61	grey
2721	gbr.73.24	brown
2722	gbr.12.113	blue
2723	gbr.33.7	yellow
2724	gbr.337.16	grey
2725	gbr.38.54	grey
2726	gbr.420.10	tan
2727	gbr.154.45	grey
2728	gbr.158.37	grey
2729	gbr.45.41	red
2730	gbr.92.24	blue
2731	gbr.112.45	grey
2732	gbr.81.41	cyan
2733	gbr.157.26	blue
2734	gbr.108.13	grey
2735	gbr.131.40	cyan
2736	gbr.72.12	grey
2737	gbr.458.3_gbr.458.4	green
2738	gbr.97.28	grey
2739	gbr.290.8	grey
2740	gbr.145.12	red
2741	gbr.61.11	brown
2742	gbr.51.74	blue
2743	gbr.38.23	greenyellow
2744	gbr.101.37	grey
2745	gbr.199.31_gbr.199.32	cyan
2746	gbr.431.6	blue
2747	gbr.3.71	grey
2748	gbr.78.54	greenyellow
2749	gbr.248.15	tan
2750	gbr.41.1	cyan
2751	gbr.28.7_gbr.28.11	black
2752	gbr.38.63	green
2753	gbr.1.61	grey
2754	gbr.221.76	pink
2755	gbr.3.104	blue
2756	gbr.104.66	blue
2757	gbr.306.14_gbr.306.15	turquoise
2758	gbr.221.9	grey
2759	gbr.70.34	grey
2760	gbr.20.62	grey
2761	gbr.18.13	turquoise
2762	gbr.360.9	grey
2763	gbr.125.1	grey
2764	gbr.216.7	brown
2765	gbr.90.102	brown
2766	gbr.217.11	red
2767	gbr.14.69	grey
2768	gbr.66.43	turquoise
2769	gbr.270.20	grey
2770	gbr.160.35	grey
2771	gbr.107.15	grey
2772	gbr.27.54	grey
2773	gbr.33.93	green
2774	gbr.404.13	brown
2775	gbr.199.22	cyan
2776	gbr.10.141	grey
2777	gbr.428.13	grey
2778	gbr.212.23	yellow
2779	gbr.256.3	turquoise
2780	gbr.393.9	blue
2781	gbr.6.115	cyan
2782	gbr.54.65_gbr.54.66	grey
2783	gbr.239.23	black
2784	gbr.93.3	yellow
2785	gbr.52.18	black
2786	gbr.46.2	grey
2787	gbr.7.6	grey
2788	gbr.190.31	grey
2789	gbr.28.6	blue
2790	gbr.8.92	grey
2791	gbr.272.23	grey
2792	gbr.92.22	brown
2793	gbr.35.8	grey
2794	gbr.257.6	grey
2795	gbr.95.1	grey
2796	gbr.63.62	cyan
2797	gbr.15.68	grey
2798	gbr.388.19	red
2799	gbr.77.89	grey
2800	gbr.23.75	grey
2801	gbr.99.15	magenta
2802	gbr.91.20	turquoise
2803	gbr.225.63	brown
2804	gbr.175.22	grey
2805	gbr.12.100	greenyellow
2806	gbr.45.2	grey
2807	gbr.212.16	tan
2808	gbr.94.34	grey
2809	gbr.95.16	yellow
2810	gbr.257.17	grey
2811	gbr.297.11	green
2812	gbr.104.44_gbr.104.45	grey
2813	gbr.201.14	grey
2814	gbr.226.22	brown
2815	gbr.119.1	red
2816	gbr.14.113	grey
2817	gbr.23.45	brown
2818	gbr.265.2	cyan
2819	gbr.157.3	blue
2820	gbr.1.27	blue
2821	gbr.556.3	grey
2822	gbr.257.19	turquoise
2823	gbr.44.53	green
2824	gbr.266.15	brown
2825	gbr.353.4	grey
2826	gbr.93.18	pink
2827	gbr.9.65	grey
2828	gbr.207.26	pink
2829	gbr.26.40	grey
2830	gbr.42.46	grey
2831	gbr.76.39_gbr.76.40	green
2832	gbr.72.50	grey
2833	gbr.9.40_gbr.9.41	red
2834	gbr.501.3_gbr.501.5	grey
2835	gbr.131.26	green
2836	gbr.25.171	green
2837	gbr.20.93_gbr.20.94	red
2838	gbr.420.16	grey
2839	gbr.239.11	grey
2840	gbr.21.41	purple
2841	gbr.10.26	grey
2842	gbr.26.43	yellow
2843	gbr.134.34	grey
2844	gbr.139.22	red
2845	gbr.274.26	red
2846	gbr.82.20_gbr.82.21	green
2847	gbr.451.11	grey
2848	gbr.2.67	grey
2849	gbr.225.33	turquoise
2850	gbr.328.8	cyan
2851	gbr.257.8	grey
2852	gbr.12.24	grey
2853	gbr.261.18	cyan
2854	gbr.144.23	grey
2855	gbr.180.4	blue
2856	gbr.33.45	grey
2857	gbr.293.11	green
2858	gbr.221.97	grey
2859	gbr.486.5	grey
2860	gbr.182.67	grey
2861	gbr.105.13	grey
2862	gbr.375.32	grey
2863	gbr.15.19	grey
2864	gbr.102.59	salmon
2865	gbr.528.2	grey
2866	gbr.270.11	grey
2867	gbr.98.71	grey
2868	gbr.110.52	brown
2869	gbr.216.20	purple
2870	gbr.10.6	yellow
2871	gbr.64.62	grey
2872	gbr.160.19	magenta
2873	gbr.97.51	brown
2874	gbr.39.31_gbr.39.33	grey
2875	gbr.59.68	pink
2876	gbr.116.11	turquoise
2877	gbr.32.92	blue
2878	gbr.66.33	grey
2879	gbr.177.10	grey
2880	gbr.134.18	tan
2881	gbr.225.20	turquoise
2882	gbr.405.2	turquoise
2883	gbr.2.52	red
2884	gbr.145.24	blue
2885	gbr.58.207	yellow
2886	gbr.3.116	red
2887	gbr.7.75	grey
2888	gbr.24.11	grey
2889	gbr.49.31	grey
2890	gbr.59.26	blue
2891	gbr.75.29	green
2892	gbr.81.147	blue
2893	gbr.6.106	grey
2894	gbr.82.28	cyan
2895	gbr.40.122	grey
2896	gbr.9.88	turquoise
2897	gbr.84.71	blue
2898	gbr.423.8	blue
2899	gbr.381.24	grey
2900	gbr.108.30	grey
2901	gbr.11.31	grey
2902	gbr.272.26	cyan
2903	gbr.25.50	grey
2904	gbr.172.35	turquoise
2905	gbr.104.28	grey
2906	gbr.205.8	blue
2907	gbr.493.13	turquoise
2908	gbr.46.40	grey
2909	gbr.277.21	red
2910	gbr.3.65_gbr.3.66	tan
2911	gbr.58.153	grey
2912	gbr.59.71_gbr.59.72	pink
2913	gbr.31.86	grey
2914	gbr.15.49	grey
2915	gbr.185.6	blue
2916	gbr.17.138_gbr.17.139	turquoise
2917	gbr.21.35_gbr.21.36	salmon
2918	gbr.6.169_gbr.6.170_gbr.6.178	grey
2919	gbr.124.62	grey
2920	gbr.162.27	grey
2921	gbr.157.45	pink
2922	gbr.130.23	grey
2923	gbr.62.56	grey
2924	gbr.74.23	brown
2925	gbr.208.11_gbr.208.10	grey
2926	gbr.476.11	grey
2927	gbr.119.16	turquoise
2928	gbr.184.60	magenta
2929	gbr.66.56	red
2930	gbr.72.106	grey
2931	gbr.22.48	grey
2932	gbr.27.7	blue
2933	gbr.81.107	grey
2934	gbr.273.2	grey
2935	gbr.545.11	grey
2936	gbr.208.43	grey
2937	gbr.287.29	brown
2938	gbr.388.12	yellow
2939	gbr.377.4	grey
2940	gbr.68.5	grey
2941	gbr.15.64	greenyellow
2942	gbr.3.2	grey
2943	gbr.420.17	turquoise
2944	gbr.23.26	grey
2945	gbr.152.29	grey
2946	gbr.6.92	grey
2947	gbr.418.12	grey
2948	gbr.10.160	grey
2949	gbr.32.17	turquoise
2950	gbr.19.200	red
2951	gbr.182.69	grey
2952	gbr.80.12	grey
2953	gbr.460.6	blue
2954	gbr.2.11	grey
2955	gbr.460.11	blue
2956	gbr.193.15	brown
2957	gbr.403.2	brown
2958	gbr.11.14	blue
2959	gbr.135.75	blue
2960	gbr.292.22	grey
2961	gbr.167.19	grey
2962	gbr.37.97_gbr.37.98	grey
2963	gbr.166.20	brown
2964	gbr.232.1	turquoise
2965	gbr.468.22	tan
2966	gbr.451.16	grey
2967	gbr.87.48	blue
2968	gbr.523.2	turquoise
2969	gbr.394.10	turquoise
2970	gbr.59.4	grey
2971	gbr.131.41	grey
2972	gbr.41.31	blue
2973	gbr.108.25	yellow
2974	gbr.171.11	blue
2975	gbr.45.5	cyan
2976	gbr.607.3	blue
2977	gbr.345.16	grey
2978	gbr.53.105	brown
2979	gbr.366.7	yellow
2980	gbr.221.25	grey
2981	gbr.488.9	grey
2982	gbr.476.13	grey
2983	gbr.25.180	grey
2984	gbr.41.10	green
2985	gbr.72.84	blue
2986	gbr.151.26_gbr.151.22	grey
2987	gbr.227.9	yellow
2988	gbr.169.27	brown
2989	gbr.114.4	cyan
2990	gbr.174.15	grey
2991	gbr.41.72	blue
2992	gbr.902.2	red
2993	gbr.23.77	blue
2994	gbr.174.25	grey
2995	gbr.225.37	blue
2996	gbr.176.9	green
2997	gbr.3.129	pink
2998	gbr.225.38	blue
2999	gbr.157.16	yellow
3000	gbr.154.37	grey
3001	gbr.25.25	pink
3002	gbr.246.12	grey
3003	gbr.45.14_gbr.45.15	turquoise
3004	gbr.589.2	blue
3005	gbr.39.1	yellow
3006	gbr.447.11	grey
3007	gbr.160.46	cyan
3008	gbr.46.83	yellow
3009	gbr.25.120	brown
3010	gbr.5.41	grey
3011	gbr.13.96	blue
3012	gbr.48.10	grey
3013	gbr.199.5	grey
3014	gbr.82.25	greenyellow
3015	gbr.19.199	grey
3016	gbr.308.24	pink
3017	gbr.291.18	grey
3018	gbr.197.42	green
3019	gbr.2.114	grey
3020	gbr.37.127	grey
3021	gbr.5.42	grey
3022	gbr.156.44	grey
3023	gbr.130.1	black
3024	gbr.46.62	blue
3025	gbr.95.20_gbr.95.21	brown
3026	gbr.170.16	purple
3027	gbr.204.45	yellow
3028	gbr.118.24	grey
3029	gbr.184.55	red
3030	gbr.1.202	grey
3031	gbr.58.88	grey
3032	gbr.154.17	blue
3033	gbr.90.14	blue
3034	gbr.129.29	turquoise
3035	gbr.1.129	grey
3036	gbr.340.3	grey
3037	gbr.171.1	turquoise
3038	gbr.304.7	grey
3039	gbr.6.186	grey
3040	gbr.173.14	turquoise
3041	gbr.203.20	grey
3042	gbr.25.160	green
3043	gbr.1.175	grey
3044	gbr.188.44	blue
3045	gbr.212.26_gbr.212.27	yellow
3046	gbr.142.67	grey
3047	gbr.505.7	grey
3048	gbr.46.37	grey
3049	gbr.308.10	yellow
3050	gbr.137.29	grey
3051	gbr.440.4	red
3052	gbr.411.16	grey
3053	gbr.46.35	red
3054	gbr.94.23	blue
3055	gbr.178.17	blue
3056	gbr.41.105	grey
3057	gbr.59.52	grey
3058	gbr.97.42	blue
3059	gbr.14.92	red
3060	gbr.102.54	red
3061	gbr.147.18	blue
3062	gbr.210.26	grey
3063	gbr.410.4	greenyellow
3064	gbr.141.10	turquoise
3065	gbr.279.18	brown
3066	gbr.30.22	yellow
3067	gbr.186.19	grey
3068	gbr.104.24	pink
3069	gbr.405.10	green
3070	gbr.19.170	grey
3071	gbr.41.27	turquoise
3072	gbr.357.15	grey
3073	gbr.366.6	cyan
3074	gbr.34.58	yellow
3075	gbr.308.23	pink
3076	gbr.1.56	blue
3077	gbr.39.28	grey
3078	gbr.601.4	yellow
3079	gbr.127.33	purple
3080	gbr.19.139	grey
3081	gbr.157.19	grey
3082	gbr.690.1	turquoise
3083	gbr.160.42	grey
3084	gbr.354.13	green
3085	gbr.114.33	brown
3086	gbr.35.11	red
3087	gbr.147.20	grey
3088	gbr.47.41	grey
3089	gbr.36.7	greenyellow
3090	gbr.80.4	grey
3091	gbr.446.8	grey
3092	gbr.26.18	cyan
3093	gbr.86.45	blue
3094	gbr.18.42	grey
3095	gbr.104.80	grey
3096	gbr.56.126	pink
3097	gbr.397.10	green
3098	gbr.90.56	turquoise
3099	gbr.81.208	grey
3100	gbr.90.70	grey
3101	gbr.103.40	green
3102	gbr.471.3	green
3103	gbr.94.24	yellow
3104	gbr.97.54	red
3105	gbr.20.88_gbr.20.89	turquoise
3106	gbr.228.8	grey
3107	gbr.33.22	grey
3108	gbr.590.2	turquoise
3109	gbr.271.33_gbr.271.34_gbr.271.31	turquoise
3110	gbr.200.5	grey
3111	gbr.33.32	grey
3112	gbr.77.109	brown
3113	gbr.405.7	brown
3114	gbr.138.28	brown
3115	gbr.317.18	grey
3116	gbr.7.5	turquoise
3117	gbr.400.7_gbr.400.8	turquoise
3118	gbr.11.143	grey
3119	gbr.34.2	pink
3120	gbr.265.18	grey
