"","Row.names","MMpink","MMcyan","MMyellow","MMblue","MMpurple","MMgreenyellow","MMgreen","MMred","MMsalmon","MMtan","MMmagenta","MMturquoise","MMblack","MMbrown","MMgrey","Co_female","Co_male","Co_winter","Pa_female","Pa_male","Pa_winter","RN_female","RN_male","RN_winter","Sk_female","Sk_male","Sk_winter","Sp_female","Sp_male","Sp_winter","ST_female","ST_male","ST_winter","TF_female","TF_male","TF_winter","ALL_summer","ALL_winter","ALL_female_smr","ALL_male_smr"
"3","gbr.1.103",0.12597805254079,0.071362574632556,-0.342907027330634,-0.439406949319276,-0.273057542168241,0.253594381221475,0.123942874106904,0.353741193101387,0.309873030707276,0.174085547050023,-0.188780456233519,0.722987662399015,0.454063386011362,0.084191297664003,0.68554053487041,-0.0799807726776413,-0.214603461626176,-0.186871247576687,0.257796035110045,0.0756743197625118,0.109465374935602,0.0742031419146923,0.0325694207636909,-0.28581399726513,-0.143430125888016,-0.181004219308468,-0.0595799155753888,0.118850833480065,-0.0814564822634944,-0.14467431308068,0.259806048396992,-0.0151150878582303,0.230390801626555,0.123086725413045,0.0455847270194763,0.00585951175950083,0.138977292744849,-0.138977292744849,0.281974241528135,-0.153071400730849
"6","gbr.1.11",0.0657390708070427,0.269127077267673,-0.23794537683572,-0.616186599597405,-0.262865981531473,0.17890749412235,-0.0891408551934963,0.203337471063338,0.128364057231065,0.117443496678771,-0.0114321485342737,0.847947929054793,0.598974882219294,0.180748733514089,0.743005502231192,-0.0321891975519241,-0.0980508137856406,-0.210940978230746,0.193134664234089,0.22099040763868,0.0864687117110084,-0.0328933389187142,0.0908499495224978,-0.468584865404562,-0.014136774742821,-0.0452697072653666,0.000866804991019809,0.0895244129305861,0.159431758275446,-0.296190257771797,0.0996597246364856,0.134384513247111,0.0407841382959566,0.0910568873508562,0.0650389790578147,-0.09730523577334,0.415659619340631,-0.415659619340631,0.182100834493146,0.233275466803585
"18","gbr.1.138",0.218157762928724,0.36933511782775,-0.131424541699281,-0.572221401301568,-0.288612536114964,0.202335991962947,-0.193381810960214,0.132666663935533,0.151725564767737,-0.0152892704133352,-0.0619650315468246,0.792616714040936,0.538004552044724,0.102020277859115,0.763124397844169,0.119424264592972,-0.0785095776369032,-0.28819693367527,0.252136234240795,0.212837964895326,0.120841744323803,-0.0834213538364128,-0.0993080936032346,-0.330897078043264,-0.183518335714892,-0.130601674549623,0.0092723230533113,0.112245645206809,0.0884027231596195,-0.188923393854727,0.198341200857458,0.165978087544371,0.0836244189254779,0.00126733425652552,0.0605234483753306,-0.10897165128007,0.297571048784403,-0.297571048784403,0.192412066370519,0.102155456414905
"24","gbr.1.148",0.294038721175017,0.203577418052574,-0.0600657093922171,-0.385766194697862,-0.167899392416331,-0.0219247066183233,-0.0462074165032725,0.10825302341993,0.0295776128313114,-0.102388555804612,-0.147359970038415,0.647327355871334,0.380243082642171,0.0531683658738816,0.533903361367162,0.121548957802871,0.000897858775360902,-0.240030684590758,0.163749472994417,0.242358474221863,-0.00810123154630107,0.0856780169948099,0.219610720714637,-0.312920051042375,-0.109429044393728,-0.0539870710816614,-0.120482996031525,0.142765289545838,-0.0474251086031507,-0.207457533493682,0.135743907512557,0.0841210587005091,0.0570937609418946,0.0509289359095755,-0.0682949752601419,-0.159756292493,0.438080972221947,-0.438080972221947,0.273036199258119,0.161084823826752
"28","gbr.1.151",0.10296188524438,0.239654026713184,-0.409078664024692,-0.709082564263707,-0.273429964522766,0.502851552350363,-0.0566307347635606,0.474424823066138,0.343372204196862,0.183259554178072,0.0196234274190098,0.871459693740444,0.644873927368659,0.260532535202711,0.861976797391963,-0.0530741627246243,-0.255493460673165,-0.299637626782492,0.279180318186425,0.239826768000234,0.140017773754358,-0.140993748360477,-0.152572244410537,-0.395019137217138,-0.139656149392208,-0.179409222927345,-0.0281336127841831,0.166558378924529,0.0864748672633498,-0.0762241956644743,0.196603115741151,0.17391488915595,0.0877661121354367,0.17070110057201,0.130277329663035,-0.0295825233376182,0.251665614330228,-0.251665614330228,0.221446024967068,0.0250289837635972
"30","gbr.1.157",-0.146535768144206,0.226755588288017,-0.410822650586819,-0.715077517940124,-0.271020590137952,0.358491046519474,-0.0560213986407317,0.396606594263383,0.151505059536489,0.237096436870116,0.138692861812332,0.79355529197856,0.75505275714183,0.456386961593406,0.806930416933072,-0.169517307005404,-0.240515434477861,-0.23490138225601,0.346157342131013,0.263714423944497,0.190389719986289,-0.161052279142669,-0.0996716274273012,-0.319687210564475,0.0354507338997915,-0.10690886473004,0.0810231937017283,0.0302624410028628,0.122946277231735,-0.1379063795517,0.0458352818588088,0.104380345445064,0.104496591148616,0.101134925826337,0.0895661727926403,-0.101125178707933,0.170621574795655,-0.170621574795655,0.105461606486835,0.063657351719112
"34","gbr.1.165",-0.139181533733807,0.141431644010772,-0.48761787341162,-0.690353447006579,-0.376663460278328,0.435551855781046,0.0557734880019772,0.476509623541288,0.329843879599564,0.38137140372642,0.0466283086586463,0.785236198135549,0.665930966241935,0.328532345080652,0.79086643902354,-0.219341573901583,-0.27904795041076,-0.259309198307006,0.225341695628674,0.192351777176709,0.145036718922698,-0.259913212340338,0.0327456989386997,-0.333181701155133,-0.0491596956904727,-0.0491911093997914,0.1012340266816,0.0189789321535019,0.0599253205497123,-0.0812796402152059,0.102087813249903,0.134476390053249,0.172077409969573,0.153247015929961,0.111310182273721,0.0438612213420649,0.0743776017940772,-0.0743776017940771,-0.0132867124304829,0.0896842210620974
"37","gbr.1.177",0.153805581741589,0.203160253615492,-0.221447366779003,-0.507538036649507,-0.24601600852544,0.124105311723629,-0.0767955177453889,0.150051499560242,0.0723958439740148,0.131163249498647,0.0467640398684884,0.652343764689228,0.488186453703129,0.15528340370628,0.577124185323831,0.000244454186521446,-0.0314026148922032,-0.308442681430615,0.171170106269953,0.276342808099568,-0.0914433727400797,0.00545410029660675,0.0507665573899982,-0.410757952483835,0.104662378820693,0.17214690783293,-0.124067154726562,0.0714666463801211,0.149311084233521,-0.280734067338676,0.127080346029477,0.104112945667277,-0.0874535460921011,0.124434038908063,0.0887124647581124,-0.149038626138761,0.641262806310573,-0.641262806310573,0.279285478383583,0.361614819922625
"59","gbr.1.22",0.0428315210120688,-0.0596209951436152,-0.344849182303733,-0.283026443500756,-0.294338394133799,0.211327713327564,0.204444081325335,0.299015788134865,0.296912005338889,0.0633349065673975,-0.267944436927733,0.735910504918821,0.328317833198191,-0.151599573708135,0.581180120359533,-0.0767916322102247,-0.0669498535035216,-0.282251825490774,0.0905978620675146,0.0901189081058903,-0.0261798088672609,0.185449186058039,0.224579983180479,-0.318529768120782,-0.201077125488163,-0.186866754131898,-0.107403084150416,0.113977553228662,0.122547094383178,-0.233817492934377,0.199771620019721,0.142683049832814,0.112097682763105,0.129959543172401,0.140122842592586,-0.076675096120993,0.406428056096623,-0.406428056096622,0.204152456239675,0.20082062491402
"64","gbr.1.246",-0.0277044959875685,0.342255412844071,-0.216160420930811,-0.668909525257549,-0.223913001088078,0.409830479079672,-0.197658969730324,0.281940263862543,0.109560346445673,-0.029158861039935,0.189141338003541,0.785422755744569,0.555839410573907,0.215386860881924,0.730859093030344,0.0510873732380662,-0.225804171589695,-0.199527289305576,0.150947244398732,0.172567013943086,0.101472244717412,-0.204927234337689,-0.0365885290720552,-0.399538197685784,-0.0804300592724432,-0.135085295652392,0.0422103129418452,0.187276642681985,0.254905930234301,0.0161686382226434,0.0303630357140118,0.164410852076425,0.0591550568882288,0.0580600166719938,0.047823513567086,-0.0819160521107167,0.199170807956151,-0.199170807956151,0.0888784697526875,0.110083385086194
