"","MMpink","MMcyan","MMyellow","MMblue","MMpurple","MMgreenyellow","MMgreen","MMred","MMsalmon","MMtan","MMmagenta","MMturquoise","MMblack","MMbrown","MMgrey"
"gbr.41.20",-0.21369392693237,-0.837084585755308,-0.639987005562819,0.338834454112819,-0.121083978491155,0.323207777747572,0.8379554380271,0.721903886782135,0.372539591700481,0.242588956703789,-0.246295815958497,-0.0929557552401412,-0.196203339987755,-0.138939779478741,-0.163287311956154
"gbr.58.213",0.0900214188392679,-0.449570921202662,0.341583571135788,0.865637294612781,0.423144142827104,-0.494070365730347,0.259153608793857,-0.366294690627604,-0.0687694790693558,-0.0703019279658714,-0.327487795009934,-0.820330754081066,-0.772462497040102,-0.475012207751658,-0.882438098737826
"gbr.35.60",-0.220749558778949,-0.255300963056577,-0.21681389423869,-0.10446466636384,0.000950918147986488,-0.294235724880719,0.244924217074393,0.167214676559381,-0.50968392953361,0.0902704464489408,0.367633251608577,-0.140575979843398,0.319482580995718,0.643386091034011,-0.121136408300255
"gbr.101.17_gbr.101.18",-0.389233624154434,-0.284843998817166,-0.610456048423132,-0.240600804879519,-0.37891162693187,0.390260513479295,0.462508524310726,0.520833989105831,0.683713342937544,0.965288292055938,-0.239416454557598,0.209212451765392,0.219425579072615,0.120045259330924,0.256954693357312
"gbr.149.14",0.133774411990375,-0.229685562405669,-0.0693827473667397,0.254964181833471,-0.112283013126081,-0.263567212684513,0.0963855243468052,0.0875370643910152,-0.247189744823774,-0.265466341653871,-0.0498944415097145,-0.214763971474743,0.004599653022868,0.168186452949175,-0.175197909219951
"gbr.1.24",0.196602491633591,-0.550451061084049,-0.061090847273229,0.529658773520923,0.0262844028940858,-0.296988558160151,0.51744280297033,0.104179271719337,-0.0872864645281873,-0.13386945558071,-0.254355274329855,-0.296811072566984,-0.370894385107279,-0.240165278191446,-0.409657421607355
"gbr.11.54",0.108814579845632,-0.228613455750875,0.161038155247393,0.525368510423979,0.153158442042377,-0.102501466975615,0.123665414151734,-0.186432219543651,0.393402184097218,0.184080446934648,-0.422145360307856,-0.390138655370328,-0.577920551420454,-0.577135465672188,-0.449234499241632
"gbr.81.14",-0.320799073882416,-0.721995787838414,-0.727423579085279,0.0613430425919858,-0.311108663489345,0.17892447860666,0.769165488925901,0.682847884452674,0.361685011982793,0.421542468501621,-0.245957142691586,0.256281055905221,0.109598119181928,-0.0185566323675664,0.109744769562404
"gbr.53.80",0.149835548698725,-0.292393274039271,0.383847558251148,0.81966894880368,0.339277189376752,-0.261184512013891,0.0990773536301986,-0.367276786549352,0.140841349742135,-0.0514112393745923,-0.344880843392504,-0.772193285105603,-0.82645847406998,-0.614283895919887,-0.794417370396403
"gbr.69.3",0.0961800996600829,-0.389080107084166,0.253051648587838,0.771986101066874,0.337209409230139,-0.38347713293133,0.172416848748568,-0.288312344809595,-0.0147339538191449,-0.104290751684265,-0.277893485649152,-0.690288822811963,-0.674301177633765,-0.48208016490037,-0.726672572648973
"gbr.257.12",0.422948952254765,-0.10896850860452,0.565834783637042,0.791784003205054,0.375973350145895,-0.336944762025485,-0.0542561525242404,-0.464678316618992,0.0630870968296702,-0.331166090686332,-0.38419570127679,-0.654294342283482,-0.860836650313375,-0.712603262889027,-0.714909960604798
"gbr.50.78",0.494513436780143,0.153730061561986,0.65923328094204,0.430524898061114,0.457066733753469,-0.522360950510974,-0.238634239972068,-0.534171716632036,-0.264582374093121,-0.501987641177529,-0.255827340909788,-0.353128021940571,-0.426050572187753,-0.313399513224528,-0.418055272913898
"gbr.242.10",0.216397544503596,-0.113468822520942,-0.145387734520123,-0.0154395493620879,-0.128976619322756,0.136381454212319,0.154720661483045,0.121272773220917,0.366517932500551,0.0930495502110312,-0.290674098818125,0.396167437593388,-0.0806915872640412,-0.426120972887651,0.210103687056747
"gbr.11.51",0.246562168471449,-0.316372175342207,0.262659147944226,0.752154815976963,0.260485891845363,-0.0811693974560917,0.101974323253169,-0.10390103137171,0.001363232851284,-0.4396302381652,-0.215371198212235,-0.617123620374014,-0.704037752281708,-0.478653155301964,-0.629482100615517
"gbr.24.25",0.00162386386360724,0.272871861988514,0.0494163464252762,-0.193537790268678,-0.123033697247816,0.183790373595957,-0.205708726152441,-0.0391560857459242,0.261194150281345,-0.0698008828653629,-0.192467027405512,0.510811443215394,0.129305135624028,-0.290548004474671,0.389568768006594
"gbr.229.10",-0.0615931472435428,-0.439258013000994,0.0536741675901723,0.680251778584041,0.168177019043241,-0.184545338574137,0.313882873989105,-0.105316889711022,0.163874538442174,0.0483322410395547,-0.408289479213458,-0.499248647181431,-0.567773085123908,-0.479886170361075,-0.544933487874616
"gbr.169.31",0.412845312435063,0.745578541322423,0.881266265707865,0.0708130579584452,0.376061277756341,-0.261983433273077,-0.819490864032169,-0.762722561176995,-0.329787622704525,-0.555639683776785,0.151080969322668,-0.286654311968847,-0.256426651692361,-0.160494558217071,-0.190603036276702
"gbr.12.122",0.95455541014669,0.218901686069058,0.380222568025265,0.114738436790429,0.0571254446309398,-0.286432029970172,-0.212451569858101,-0.336818290422429,-0.141057419974877,-0.371268009745738,-0.124700645023016,-0.00123003540993858,-0.194076339608867,-0.272952362410399,-0.0156943100308046
"gbr.168.12",-0.0618619398665412,0.202250914219115,0.0298621566657052,-0.222085449123936,-0.0393669520552411,0.263550081762804,-0.294068038439607,0.13880335530856,-0.527998560187946,-0.542059379601944,0.764583297018514,-0.041538972614136,0.182468303455036,0.426288774226211,0.0409781939112502
"gbr.111.53",0.141598861964132,-0.521848154254294,0.211208792927877,0.882756351431743,0.194362918375397,-0.395901255063494,0.442125555247294,-0.274584575361317,0.119458191523607,-0.0535897037235143,-0.583235296349522,-0.592798859471582,-0.777254389417087,-0.717730696498553,-0.693810363756526
"gbr.425.1",0.0621508166335138,-0.210880405218798,0.279454887925106,0.617084247300346,0.239979547198168,-0.118197415674848,-0.000432956509943113,-0.258010031302057,0.0974027899471403,-0.121986232499442,-0.180782533729722,-0.597386941996256,-0.649740847384856,-0.490683739549291,-0.62376740578104
"gbr.81.43",-0.0481653291013809,-0.185985384182894,0.1672449112782,0.436290298997482,0.140935102322177,-0.214796668231405,0.0561655263393017,-0.214204165098011,0.123115536614008,0.242796168534698,-0.125086766111977,-0.580712907570914,-0.42905783952984,-0.218724885784274,-0.537735379563545
"gbr.263.12",0.160150740043094,-0.376322384132783,0.176289664930076,0.760343263571145,0.237370587599319,-0.171655543285238,0.186348944220124,-0.172418132109144,0.28760217894456,-0.0386718868889794,-0.483437772976893,-0.5269741494259,-0.676409159817362,-0.632225032758396,-0.575365090072995
