"","Row.names","MMpink","MMcyan","MMyellow","MMblue","MMpurple","MMgreenyellow","MMgreen","MMred","MMsalmon","MMtan","MMmagenta","MMturquoise","MMblack","MMbrown","MMgrey","Co_female","Co_male","Co_winter","Pa_female","Pa_male","Pa_winter","RN_female","RN_male","RN_winter","Sk_female","Sk_male","Sk_winter","Sp_female","Sp_male","Sp_winter","ST_female","ST_male","ST_winter","TF_female","TF_male","TF_winter","ALL_summer","ALL_winter","ALL_female_smr","ALL_male_smr"
"17","gbr.1.137",0.231281401786501,0.801922269785394,0.503066096266684,-0.414885507097252,0.137551439529621,-0.14931687487353,-0.794181495613693,-0.433153893523627,-0.305224737566267,-0.281575383067541,0.335636815615188,0.183159045445522,0.339936963639184,0.330875117404875,0.29746721066173,0.238107086847986,0.244533274083049,0.125071686102823,0.197051054484804,0.207156424836132,0.339582891381229,-0.288699931037205,-0.265487511938286,-0.379897696092232,0.0136071269758012,0.0162610822046233,0.0963501323921615,0.0380284400464227,0.0212971659172644,0.0357999589503069,-0.173111274926799,-0.147063917131556,-0.16008114075702,-0.00567964803419707,-0.0215158844052594,-0.127389312616666,0.0432173707491731,-0.043217370749173,0.00891794750311786,0.034722061989297
"55","gbr.1.213",0.0929819387529438,0.784539665949492,0.229323086886939,-0.694057053253686,-0.0592070062943293,0.100063552968541,-0.640936500530471,-0.208784906774009,-0.15078392093731,-0.0776508369588458,0.332423753661983,0.504522896287246,0.55574116774711,0.384798109959602,0.601047019391563,0.119481567982925,0.0926948148649183,-0.0112986515016099,0.211863529119766,0.1650903211798,0.259566838144476,-0.396513433201668,-0.258434773480633,-0.465204764761242,0.134320630102774,0.0245041246864538,0.193651374395892,0.0746552221764984,0.149166951167485,-0.118445210151597,0.0766103140758693,0.0573094539997014,-0.0187667829116514,-0.101869306759595,-0.0832350373902537,-0.127181232718108,0.130459428945445,-0.130459428945445,0.0547695946709272,0.0757085591527447
"149","gbr.10.36_gbr.10.37",0.278510004817984,0.681353335642112,0.291046143874647,-0.483319778744819,0.00971725938825463,0.066581030879207,-0.592078489600134,-0.146563572802257,-0.104357622779147,-0.171797023528766,0.208944851726582,0.255207157625551,0.348587564564899,0.340996920492296,0.3920988527319,0.186554866348091,0.0197994232109596,0.0674390152909852,0.243384228328056,0.25726860229326,0.325544327055787,-0.413167829255433,-0.273127348783989,-0.235183066737806,-0.0752524671358861,0.0089961566120473,-0.0500783454483027,0.0182584160519851,-0.038203423658823,0.105488876514169,0.0679075963670732,0.0229357003138448,-0.0548268848140019,-0.0826735252996544,-0.0769185179792108,-0.0315162433031082,-0.0509025142349741,0.050902514234974,-0.0254048681590929,-0.0253228190234534
"161","gbr.10.81",0.00353880072430572,0.787095903297648,0.47060283535162,-0.461780249010252,0.190877845572464,-0.0035899183697447,-0.767853715103615,-0.41984174470069,-0.415026126675394,-0.35933886642762,0.474589106636066,0.168829429799255,0.320167524138345,0.306090852983255,0.269265333420268,0.189004456674452,0.24990605910162,0.170154764811079,0.127098053382009,0.163846892750676,0.183440294707973,-0.403564986832987,-0.217944470146334,-0.344879814841898,0.0476467268436845,0.118960304280072,0.13727144107904,0.0540824690241391,0.231029197006108,0.0830087398433685,-0.108599716538248,0.0422984507315643,-0.0279433966445939,-0.227470660119756,-0.210375856727272,-0.203348612798835,0.0218902288952337,-0.0218902288952337,-0.148673769767031,0.17769296973589
"211","gbr.101.47",0.328697574791993,0.762211700479859,0.523297434098246,-0.298198946018863,0.0264690384797851,-0.0239089914238563,-0.695442765112928,-0.454455536605089,-0.00919172917230151,-0.0673927887166571,0.135692040940541,0.0592913490614004,0.0900850626282095,0.0391322428052331,0.177055189429567,0.233764685183587,0.343997468396239,0.021067553561655,0.171023061554631,0.0502219591935528,0.0399370782138235,-0.344700867207166,-0.383766944524887,-0.418332011378551,0.094833232932856,0.130025216699139,0.0193227381398746,-0.00196773049246852,-0.115414124215385,0.0607704855932853,0.0924599474460268,-0.0541275775976272,-0.00850715677666449,0.0270004319201083,-0.0455284293054719,0.0614917639767838,0.110345986204396,-0.110345986204396,0.125855102042488,-0.0190831710970994
"246","gbr.103.23",-0.00152880434961404,0.77078862106608,0.532928946956218,-0.262100858785064,0.117628181464187,0.101063846311395,-0.718557179646122,-0.458413523127705,-0.00828926205290541,-0.150150706343112,0.202208353529181,0.0483105440544897,0.0327111912961369,-0.0396101203877823,0.152241323767513,0.17470747330162,0.396425246111412,0.180052890589562,0.0130279017972643,0.0132947806977132,0.029847317942957,-0.352718634598151,-0.350718514141897,-0.473320171749512,0.009087365613332,0.0678169918666696,0.056069060094026,0.0340426886360579,0.0650603924945917,0.0868606896226495,-0.0408699648004091,0.0831816729207422,0.0333669116577652,-0.0221107721992567,0.0329855801718062,0.00922791002974461,0.0609905938389537,-0.0609905938389537,-0.085393556999721,0.151403286731893
"264","gbr.104.22",0.325612952576023,0.70109098864036,0.471329711698573,-0.40737975050993,0.244561363602713,-0.32148845266498,-0.719009258363276,-0.453839762097967,-0.497808133903196,-0.378421285827237,0.355561776697361,0.209998290728798,0.438753288249911,0.427588769985049,0.301311511808138,0.349638946564718,0.196065576453855,0.0383126338093384,0.375021758477477,0.308598747468113,0.28087460245974,-0.214374128186965,-0.220274501090655,-0.183498888241901,0.103200414202523,0.0210641144609064,0.0751568539346239,-0.0159824265254783,-0.0917399249134941,0.0253802391665236,-0.182512780669466,-0.167066689358183,-0.194134368171623,-0.197962660189284,-0.167235094915058,-0.167042070173567,0.0578320172274847,-0.0578320172274847,0.100267778836819,-0.0458575228686814
"335","gbr.107.14",0.34099323133031,0.778925573649287,0.374873100596713,-0.478313951795127,0.000661326578444082,0.134980111418417,-0.760787178263486,-0.28509060178556,-0.162450688809478,-0.255262385734223,0.380939395955375,0.203674067965049,0.251012619715127,0.236421213029031,0.332677408225987,0.146713934181779,0.201261237954232,0.0391943920414962,0.229010842515621,0.158473072051304,0.217395218894348,-0.302284634216172,-0.423915308084049,-0.459797941195848,0.00968582431664915,0.0617673854374814,-0.0288135037637006,0.177900770895907,0.127498796002315,0.0840990862772815,0.0147276311940428,-0.113518947420732,-0.0260754502301678,0.0351434291918025,-0.163851042962114,-0.0149734304809445,0.0958435288088961,-0.0958435288088961,0.143635246417876,-0.0524452608557445
"537","gbr.111.36",0.0946926037957302,0.798055825101263,0.442660820251606,-0.458135063709772,0.0997497121602903,0.216728331293671,-0.699362664648117,-0.348328121365082,0.0311566399141055,-0.0150398272765963,0.274150392597507,0.15551783123656,0.15120911471611,0.0962192324173832,0.276717757637179,0.164645160174607,0.244871661069865,0.145191780838891,0.0314983054094021,0.0271682758233041,-0.000220904900536088,-0.394610636676638,-0.454706117804372,-0.531987623209896,0.10323286581702,0.146269105401137,0.0972373072046625,0.0709140333636257,0.0662846331905392,0.0971791346037141,0.0217514722654152,0.0693287342523033,0.11601370846801,-0.0250306453444892,0.00509825023659012,0.0210982447144125,0.0495963257219847,-0.0495963257219847,-0.0127509847505313,0.063869864512513
"572","gbr.112.51",0.313213129524348,0.728372487328663,0.659478187302396,-0.110793537928486,0.0319703019580184,-0.233145808261601,-0.68064355872109,-0.631197867355435,-0.053664021058888,-0.201014558935635,0.00280918853920037,0.0256265620799942,-0.113158840868802,-0.254782360190279,0.0586342545687839,0.345432656300007,0.436084827623794,0.054847621812397,0.0143445827034794,-0.0650121534774997,0.01038581360228,-0.235170459993734,-0.224729140184339,-0.357247830961633,0.0253289212438295,-0.00950738164432227,0.0374611989342248,0.0196607662041361,-0.0187325983440244,0.00175898066544942,-0.0209639335281545,-0.00611405992076813,-0.155671507540429,0.0521726321192231,0.0576075241479481,0.0346140236103728,0.178102079940548,-0.178102079940548,0.0927722857541028,0.0845427940686152
