Sample:,STf1,STf2,STf3,STf4,STf5,STf6,STf7,STm1,STm2,STm3,STm4,STm5,STm6,STw2,STw3,STw4,STw5,STw6,STw7
gbr.337.8.t1,9.791178884,5.325348858,11.45499408,11.10440324,9.088191184,15.77031558,6.379548373,4.502835677,3.095929449,1.749240433,3.380716577,2.385455979,2.760148843,31.01779307,19.30723926,21.69185416,9.110613854,12.31769883,13.19794955
gbr.34.2.t1,147.7079725,92.19099039,48.18928047,78.81141689,167.7291809,47.15296838,66.07343759,86.05841127,30.533006,32.25288995,23.19420106,38.7118413,32.77497149,40.09942386,34.68559352,31.17218957,61.7012099,64.36147601,66.7308112
gbr.34.79.t1,3.828960938,4.881118143,8.371174928,10.82419615,5.242999326,13.09631945,4.22197069,4.743620096,1.109809518,0.358318184,5.078430698,2.255270533,0.782854399,34.51888955,14.0127493,4.323314143,4.116701021,5.150416827,8.204433266
gbr.341.20.t1,21.29972404,25.91844692,11.49059014,16.45566718,24.72746627,10.8237462,12.46193618,7.539367217,7.055591573,6.26450168,5.136412352,5.735134729,10.78345886,12.66075822,12.51752613,8.780052668,13.08592176,9.426208277,10.15318874
gbr.342.18.t1,142.9600785,97.47886949,147.6217035,131.6997978,157.2308781,326.6842217,187.1191345,133.0450641,61.3100113,37.27973045,103.589491,90.88776955,70.32731294,282.9164582,129.1735701,137.1382151,103.8252837,108.4815325,125.9629536
gbr.35.19.t1,0,3.65437001,3.133643738,12.40234134,1.689586221,1.725659579,1.324560471,0,2.611357216,2.360721304,0,4.457545359,0,2.499144081,0.336936966,3.956035389,4.339554837,6.169579425,1.650490973
gbr.35.43.t1,982.4898393,954.2157391,135.9312873,362.8546237,1026.27001,55.06146294,117.6955382,436.0081308,43.03204405,72.22588709,47.29758581,109.8224516,49.99581323,65.10532898,69.26789195,94.59047427,173.0803693,150.7566445,167.2384243
gbr.354.8.t1,344.8692743,335.6881717,241.9188049,307.0447595,272.606156,241.0679288,180.7752479,215.4208606,142.3186121,139.941059,161.4378729,192.2045401,176.5728254,142.9787095,186.7268171,217.7848737,208.1384881,301.4641784,181.2682662
gbr.357.10.t1,641.5958935,541.5784434,657.5690671,601.667183,548.536726,903.0387013,609.5220934,422.4424929,345.2785108,316.0956551,403.8751781,547.0488412,653.786979,387.2215667,508.3769085,604.9981204,557.8231229,529.473662,380.2137072
gbr.36.4.t1,150.653441,94.05725051,26.71364022,36.8520629,34.77734326,42.43522354,44.51493666,42.69574871,11.98683216,11.6103706,9.972931139,19.48698326,4.227727433,28.67935921,16.01868152,11.67381433,60.47059127,36.24289474,39.23388044
gbr.36.64.t1,38.63985601,72.26424943,33.63923842,35.83244601,35.43606109,20.38605592,35.37735684,26.75375645,15.82699774,46.53110395,24.21556813,16.40828629,27.81611125,9.306353604,22.32485357,10.36288295,19.64240038,60.47279537,17.32571523
gbr.360.23.t1,2.147275528,0.580644422,0,0,0.596575736,27.41907925,0,3.103584175,0,0.468870029,2.416464729,0,0.68292555,0.496362597,0.267680297,0,0.430946084,0,0.655618051
