Sample:	Spf	Spm	Spw
gbr.226.22.t1	326.3311619	237.8335523	236.0354223
gbr.11.153.t1	1.706424628	3.200725042	2.222236599
gbr.113.12.t1	14.32540124	14.00183876	46.33965939
gbr.100.51.t1	59.92805927	54.58247383	119.0926318
gbr.39.25.t1	9.19652502	18.77843528	21.44534201
gbr.48.71.t1	40.83957484	41.4379196	54.53810048
gbr.41.32.t1	104.5547612	97.56799312	129.9242085
gbr.483.2.t1	27.27523373	23.1319978	34.60459197
gbr.101.7.t1	113.1922534	104.4759113	123.6564868
gbr.112.49.t1	60.06345048	59.83346963	95.35243474
gbr.64.57.t1	55.3894324	72.24075617	72.45031582
gbr.19.29.t1	25.41084345	35.20846817	39.54300819
gbr.371.20.t1	39.03340089	39.04632559	54.07499815
gbr.123.20.t1	4.456803783	3.661192031	24.12802636
gbr.242.28.t1	31.12147955	41.03211155	44.79450187
gbr.348.1.t1	81.58546308	91.62719904	114.8738596
gbr.56.60.t1	13.6340533	13.71407305	17.31366431
gbr.15.69.t1	14.51990801	16.90754484	27.98868517
gbr.7.119.t1	17.14129371	28.9915666	154.3944908
gbr.132.24.t1	13.26032641	18.36953885	21.97647244
gbr.35.81.t1	45.50477776	60.11830461	65.32289096
gbr.166.3.t1	17.65456445	16.71484106	26.03009747
gbr.129.14.t1	108.9207274	112.5103337	174.2801929
gbr.6.102.t1	173.6329521	202.3845207	319.5981161
gbr.149.14.t1	1763.896795	1875.172349	1520.457707
gbr.151.47.t1	134.0280307	145.7903868	213.8769637
gbr.342.20.t1	14.44840991	13.48300522	15.66218271
gbr.60.60.t1	167.4034256	181.7895168	222.0975008
gbr.204.22.t1	190.1463879	306.7932621	362.7182713
gbr.37.95.t1	156.3753759	194.3917781	268.3735479
gbr.221.66.t1	16.35638734	20.22938304	46.36922884
gbr.43.18.t1_gbr.43.19.t1	52.11293056	54.92849828	130.6268117
gbr.56.42.t1	25.11514331	32.23276732	74.75166463
gbr.3.104.t1	67.74392194	80.55938209	92.97843384
gbr.428.15.t1	1124.233851	1584.876482	1842.685189
gbr.63.84.t1	10.51126489	10.76087304	16.78832894
gbr.184.54.t1	603.2704051	662.8505591	885.6780768
gbr.56.79.t1	4.118849864	3.860198545	10.12010243
gbr.325.5.t1	0	0.026766951	0.487844468
gbr.49.22.t1	7.911244758	11.66449558	17.71589242
gbr.4.105.t1	0	0	0.084739084
gbr.89.1.t1	121.3819223	101.9548145	185.2793789
gbr.519.2.t1	10.90543662	38.07404708	54.19625704
gbr.541.1.t1	10.3226804	14.03248507	7.952864528
gbr.101.1.t1	8.191281133	9.689932409	28.53517345
gbr.400.5.t1	3.450818516	4.496682312	10.04610914
gbr.147.13.t1	74.8890725	89.90800225	81.59073632
gbr.338.14.t1	18.42679319	24.35392451	141.5274031
gbr.20.90.t1	25.3405929	31.09290748	34.73591893
gbr.519.9.t1	297.2140759	364.2875383	450.552249
gbr.10.58.t1	4.576416887	11.50312038	23.33811244
gbr.299.7.t1	6.685132989	5.936092615	12.1379395
gbr.645.1.t1_gbr.645.3.t1_gbr.645.4.t1	269.0295483	332.6361642	695.156409
gbr.108.12.t1	174.9729236	202.3352763	251.9748137
gbr.4.45.t1	10.52697148	11.45024483	12.30966804
gbr.161.6.t1	10.48071689	11.12824225	23.40414117
gbr.11.216.t1	84.04129037	134.0632999	220.6655117
gbr.149.26.t1	6.158822594	6.434155815	11.70185456
gbr.40.7.t1	74.68411433	68.42547804	67.7692593
gbr.421.2.t1	201.3835901	204.8891114	305.3998446
gbr.215.36.t1	0.859470572	0.580984371	7.518331477
gbr.60.29.t1	18.90240192	11.39020477	33.36501153
gbr.418.10.t1_gbr.418.11.t1	239.7492552	203.8008702	349.0596928
gbr.78.51.t1	39.31663852	35.10293146	67.40417287
gbr.174.39.t1	33.76162304	25.36803197	47.05430541
gbr.90.93.t1	49.71462808	52.24363905	85.86484453
gbr.111.54.t1	309.3228307	309.1214713	684.4194556
gbr.29.37.t1	12.49328201	13.42447047	21.54249278
gbr.92.45.t1	0.430646546	0.594372473	0.411868146
gbr.124.63.t1	0.215231367	0.462362057	4.749102144
gbr.162.31.t1	437.5356661	456.5091118	1028.917761
gbr.130.4.t1	12.47068028	14.27574875	12.1226481
gbr.81.141.t1	45.77563524	67.57203166	119.7951468
gbr.143.12.t1	21.56379975	26.7574192	61.86013493
gbr.183.19.t1	0.966647239	0.252983928	1.751430376
gbr.81.43.t1	10791.15584	11077.37115	12885.68309
gbr.40.114.t1	20.56754899	26.23898771	36.4853757
gbr.262.1.t1	62.00029013	68.75305825	92.7781123
gbr.384.6.t1	457.0358692	434.523221	589.0973641
gbr.24.13.t1	106.6414843	112.7027645	141.9142143
gbr.380.13.t1_gbr.380.11.t1	104.4554176	85.96253557	129.2478946
gbr.459.4.t1	62.20877073	57.74967898	85.26899089
gbr.25.185.t1	363.6356028	328.6266814	558.9614322
gbr.388.26.t1	4.661889233	3.353633702	20.86332192
gbr.72.97.t1	28.4664608	28.88482326	55.84821983
gbr.37.111.t1	229.8597128	193.7649312	548.5646702
gbr.18.18.t1	2.205438636	2.80205943	6.437977194
gbr.508.2.t1	2.014425358	2.545749215	8.525846214
gbr.314.33.t1	61.66334596	52.10958753	39.83737853
gbr.43.63.t1	33.49582375	35.09807973	66.20102591
gbr.253.11.t1	9.641044715	9.062223265	14.33427954
gbr.105.12.t1	44.23238271	32.37504359	73.61544576
