Sample:	Skf	Skm	Skw
gbr.221.72.t1	7.949618738	6.51094121	8.5167553
gbr.188.5.t1	40.8947422	41.99970519	49.53870273
gbr.193.18.t1	7.154066197	6.213395686	13.80608715
gbr.50.76.t1	52.61307905	56.45696385	110.7590773
gbr.112.14.t1	0.338355523	0.434514321	0.661131365
gbr.86.29.t1	4.473083022	2.642274056	5.717163844
gbr.419.1.t1_gbr.419.2.t1	9.568219664	6.601071605	8.086310935
gbr.154.31.t1	0.988066978	2.718530777	2.646379499
gbr.193.17.t1	124.7854063	86.0193293	278.0525855
gbr.171.29.t1	1.60111644	1.549824408	2.523352639
gbr.3.55.t1_gbr.3.56.t1	16.80277951	13.23895159	23.08262899
gbr.399.2.t1	106.9879117	260.9772479	703.386035
gbr.567.6.t1	0.626874202	0.331230531	2.444652394
gbr.14.39.t1	14.36204149	25.84408439	14.87135523
gbr.223.15.t1	1.234699478	1.225547582	1.825064623
gbr.168.28.t1	0.919304656	1.129892409	2.849928843
gbr.58.192.t1	1.420152081	5.887176952	1.192369858
gbr.91.8.t1	25.45494503	20.35276861	28.46386009
gbr.222.15.t1	32.62915292	34.82633164	43.89772318
gbr.718.2.t1	6.223975716	3.614792763	9.792839215
gbr.315.27.t1	8.647731379	12.87701373	17.16695891
gbr.55.50.t1	31.29429771	79.44708403	75.73294507
gbr.8.120.t1	12.48757551	8.925380699	11.42237297
gbr.441.8.t1	11.52686763	11.556264	11.82785936
gbr.141.8.t1	0.910082933	1.797278655	10.92354155
gbr.339.9.t1	0.269837582	0.006488356	0.387968898
gbr.40.138.t1	4.827669119	3.376162093	8.389562757
gbr.125.44.t1	2.084513493	1.486972636	2.408066045
gbr.72.96.t1	2.591241639	3.064120509	9.035733569
gbr.32.50.t1	6.623458023	6.110107615	11.29254236
gbr.84.21.t1_gbr.84.22.t1	162.6734075	149.4330639	143.021782
gbr.172.24.t1	16.33713486	21.47086566	23.51144283
gbr.488.13.t1	3.502516843	0.415169218	3.934538774
gbr.44.60.t1	7.468856841	7.515591894	7.609487628
gbr.95.39.t1	21.69665852	19.82716057	28.58904078
gbr.256.28.t1	0.392721232	0.532762705	1.337176413
gbr.550.3.t1	5.901830253	2.689400868	4.205201568
gbr.188.1.t1	5.283773463	2.00768272	4.052576751
gbr.2.122.t1	37.88839309	41.02252072	65.73345098
gbr.362.16.t1	1.221046987	0.973921078	2.203439893
gbr.42.5.t1_gbr.42.6.t1	1.422714152	0.918607633	2.191924493
gbr.84.45.t1	150.6412975	85.53239857	119.4551185
gbr.250.15.t1	2.313405346	2.879546354	4.079963964
gbr.11.138.t1	137.7931668	104.346588	182.0642878
gbr.124.51.t1	34.3267976	45.82994843	19.59847113
gbr.63.11.t1_gbr.63.9.t1	8.434342017	7.365038333	9.01548291
gbr.90.101.t1	1.73027247	1.476620665	2.705016565
gbr.110.10.t1	1194.860261	1176.06737	1027.790451
gbr.314.35.t1	14.96579742	16.23437318	8.895091572
gbr.77.26.t1	0.741783002	1.57737251	1.772888891
gbr.16.82.t1	6.236804434	6.859362327	11.78146172
gbr.51.65.t1	0.301525741	0.021414581	0.109178678
gbr.56.61.t1	3.110895162	2.985695455	6.413190335
gbr.10.117.t1	11.46919788	15.53715174	6.278953521
gbr.205.33.t1	88.86859689	75.76415045	77.96110373
gbr.131.24.t1	0.957488509	2.203871774	2.416758096
gbr.33.34.t1	4.847233986	6.520355719	11.57592494
gbr.104.58.t1	4.126944169	3.13515061	6.002094863
gbr.25.147.t1	3.432470605	2.940387181	3.685396236
gbr.101.27.t1	9.06114718	6.736275542	10.66154839
gbr.249.2.t1	4.737511022	4.806701954	9.956958307
gbr.347.30.t1	7.314749931	8.910857316	14.03816562
gbr.391.4.t1	5.545701357	5.423799165	10.15161517
gbr.136.14.t1	77.88582151	98.90345733	33.95086866
gbr.18.67.t1	120.7008471	91.37975208	51.05129828
gbr.16.28.t1	4.123183205	1.862438137	9.850909759
gbr.175.6.t1	9.987583979	9.204091208	9.994576222
gbr.496.1.t1	23.03717824	19.70185035	34.59328999
gbr.64.44.t1	24.56750705	32.8483676	18.67812087
gbr.74.1.t1	3.543984546	2.216593275	7.651636664
gbr.24.95.t1	76.34345054	46.22521021	19.51077381
gbr.3.62.t1	4601.540388	3738.674158	488.4207907
gbr.170.13.t1	11.74916973	9.766970543	10.41544822
gbr.361.8.t1	0.731732341	1.27710974	1.263044043
gbr.170.15.t1	4.941393639	5.336153069	8.385111481
gbr.52.64.t1	7.460543427	3.756143712	7.882459601
gbr.34.4.t1	20.52456832	19.25409189	25.83294502
gbr.56.117.t1	1.128186411	1.293077096	3.510254203
gbr.56.56.t1_gbr.56.55.t1	7.285366748	7.901025295	11.52845073
gbr.162.17.t1	34.86460015	28.18475519	32.62527745
gbr.169.36.t1	2.164207462	2.884489143	5.109224349
gbr.3.42.t1	6.979577519	6.207966502	11.03348616
gbr.235.31.t1	3.526601298	9.25576253	6.203200465
gbr.351.7.t1	19.59264702	20.54364771	16.97427672
gbr.124.43.t1_gbr.124.40.t1_gbr.124.41.t1	10.40370794	9.72948931	13.90004984
gbr.192.20.t1	58.41781516	54.1559672	57.82726118
gbr.556.3.t1	35.97888195	26.54693511	26.60313768
gbr.4.76.t1	38.41907971	34.59203483	54.70126312
gbr.42.57.t1	4.870685725	5.476941557	16.31741696
gbr.512.10.t1	2.160815933	4.137264027	6.151619159
gbr.86.37.t1	0.433755546	0	0
gbr.9.95.t1	1.806403803	1.786278442	4.227789019
gbr.64.92.t1_gbr.64.94.t1	19.81230839	19.69591176	20.27729765
gbr.13.57.t1	6.674646181	7.591000102	8.841519945
gbr.740.3.t1	3.961631191	3.990548861	9.387781914
gbr.62.40.t1	7.926478777	9.916674863	17.60922992
gbr.62.41.t1	5.033280287	6.176862367	6.174221247
gbr.222.30.t1	63.32757439	44.98736558	51.41833456
gbr.237.9.t1	2.457959651	1.706112056	2.265540844
gbr.696.3.t1	8.595829759	25.695754	39.21916702
gbr.6.85.t1	5.161121911	4.922860447	9.563422849
gbr.39.12.t1	62.36399992	58.4169603	88.50516086
gbr.76.42.t1_gbr.76.43.t1	34.40584525	33.28949702	38.93905217
gbr.83.58.t1	73.40867398	66.04032741	100.5001048
gbr.90.104.t1	1.631067389	2.275994399	4.128949204
gbr.182.64.t1	8.037470378	2.571450991	8.20762036
gbr.33.33.t1	18.76742401	12.67183642	28.68825887
gbr.206.3.t1	5.019991144	4.650613375	9.948438975
gbr.191.41.t1	11.47643264	13.24368181	20.27019055
gbr.357.12.t1	4.416636396	4.192605991	7.471172015
gbr.21.34.t1	3.048469458	2.939214659	5.931861453
gbr.126.6.t1	15.38419462	2.703805934	1.851232773
gbr.441.1.t1	26.57537442	20.11357834	26.40120022
gbr.17.34.t1	9.105706054	9.68919562	11.50055945
gbr.199.21.t1	8.451709359	5.942966211	9.595469746
gbr.48.98.t1	12.95286145	9.956374226	16.75818392
gbr.93.7.t1	1.642594173	3.630137168	4.168051156
gbr.126.20.t1	3.232773408	4.648212093	6.41452702
gbr.39.48.t1	13.32274078	13.13193908	17.68201299
gbr.286.16.t1	9.715503847	8.604294845	16.38203137
gbr.5.18.t1	39.10253039	43.25043774	34.2632217
gbr.346.12.t1	0.611322833	0.604922923	0.598962857
gbr.434.9.t1	5.679047903	2.026594912	7.660770388
gbr.172.2.t1	24.06155872	19.19275556	29.77572992
gbr.290.6.t1	19.15362477	12.85237456	14.88738317
gbr.151.79.t1	8.589273278	11.1162454	7.91834856
gbr.71.17.t1	11.57897609	10.76138388	19.61840983
gbr.100.53.t1	10.99931212	15.81698971	20.90515361
gbr.270.8.t1	10.7505069	11.88940804	15.91228912
gbr.113.1.t1	35.56303334	35.35296179	48.28062658
gbr.463.15.t1	13.77903475	12.32949085	28.33367762
gbr.65.70.t1	4.646115622	3.349184995	6.068253677
gbr.23.29.t1	37.85922501	38.06979544	50.5683465
gbr.102.10.t1	8.642645686	11.71970003	16.96362075
gbr.201.17.t1	2.776789047	3.853210188	3.679097202
gbr.150.33.t1	4.510739787	1.975534499	3.910863195
gbr.249.3.t1	5.071391302	6.263506879	11.24522247
gbr.166.24.t1	15.00660427	13.6623324	30.23875927
gbr.273.1.t1	101.7024477	91.3573463	71.51386429
gbr.121.22.t1	0.88936676	2.459128507	2.752373377
gbr.210.14.t1	24.5867502	27.1061403	32.53443161
gbr.111.39.t1	92.19692005	73.47279519	114.6183726
gbr.184.20.t1	97.28809201	103.3375991	81.09372516
gbr.27.65.t1	2.860878169	3.930228078	5.822133888
gbr.183.46.t1	3.834878353	4.369148446	5.146452025
gbr.19.124.t1	20.10470128	21.68716947	39.56634398
gbr.37.76.t1	10.81469652	10.16747752	9.936753536
gbr.98.42.t1	1.962196401	4.370701156	2.085061712
gbr.1.148.t1	3.356394306	3.514425095	2.794415262
gbr.7.14.t1	5.596408521	6.845795903	8.084220842
gbr.228.29.t1	36.2699414	26.26937821	26.25444638
gbr.53.36.t1	3.071922762	3.442943195	4.214524177
gbr.283.54.t1	2.185156562	3.218089975	3.995615563
gbr.354.1.t1	150.5897247	316.8169463	289.711152
gbr.203.12.t1_gbr.203.15.t1	105.5122142	97.31316948	108.5292999
gbr.114.9.t1	3.034892018	3.125699621	6.380155597
gbr.847.1.t1	37.44457995	26.41152065	39.94070908
gbr.283.45.t1	14.74688849	21.42687196	20.37321332
gbr.412.5.t1	22.96254094	40.23491154	22.87579218
gbr.110.86.t1	17.13356723	16.57201795	17.67380602
gbr.267.23.t1	3.103907535	3.075599379	4.975543943
gbr.88.26.t1	15.40914665	18.43588461	35.07534877
gbr.35.77.t1	35.65607858	37.3463156	48.32186308
gbr.12.34.t1	5.603965852	4.618553872	3.446329274
gbr.44.63.t1	0.636356308	0.06010031	0.264237672
gbr.85.18.t1	28.6556151	29.82140973	30.00297664
gbr.40.120.t1	11.21164472	5.822988237	22.3076525
gbr.109.30.t1	3.058692768	1.824952307	5.460940526
gbr.224.12.t1	10.12608489	10.96621477	18.63799122
gbr.388.10.t1	49.2231211	39.00343956	45.38355617
gbr.14.87.t1	5.08875202	27.9599108	15.33359618
gbr.52.73.t1	12.03226488	13.81766618	19.59014385
gbr.173.24.t1	3.841775304	6.016531523	6.570441198
gbr.447.5.t1	18.57755271	16.46763444	32.38909034
gbr.24.36.t1	0.971436305	1.013417923	0.811625795
gbr.2693.1.t1	21.83322835	21.96161016	37.70343043
gbr.58.137.t1	1.133911261	2.139286643	2.772983162
gbr.154.47.t1	37.69283423	36.62500207	75.64127785
gbr.90.98.t1	1.592880752	2.075932526	2.738284451
gbr.306.9.t1	39.40833386	34.99442583	38.40566794
gbr.185.21.t1_gbr.185.22.t1	17.79931854	15.93168766	22.67867591
gbr.181.3.t1	189.3260966	207.4932465	91.42637848
gbr.12.94.t1_gbr.12.95.t1	24.5620911	22.80602676	33.47991874
gbr.2.175.t1	5.979816833	6.577882412	6.417751605
gbr.105.25.t1	1.880868206	1.43602615	0.747316666
gbr.435.5.t1	8.408378632	4.093569147	10.52747975
gbr.8.140.t1	4.431944004	2.795719825	5.287721942
gbr.81.83.t1	16.45109919	9.131153025	31.10748624
gbr.145.17.t1	2.800797317	2.784876475	2.585962824
gbr.113.2.t1	3.868081279	2.112584211	6.137455005
gbr.113.6.t1	15.65040939	11.97677895	20.25746376
gbr.131.6.t1	7.596032786	6.017219704	3.734180384
gbr.7.120.t1	9.6137021	8.56176094	12.70541952
gbr.151.65.t1	3.083512789	4.462504778	4.211887984
gbr.167.25.t1	542.3312992	754.3133114	444.2718562
gbr.447.28.t1	5.799485161	9.470143474	7.543980512
gbr.340.16.t1	66.75652795	57.38996421	70.20146395
gbr.411.17.t1	2.613046713	1.937868575	2.907741549
gbr.96.44.t1_gbr.96.45.t1	3.905045025	4.172068127	6.30198115
gbr.120.30.t1_gbr.120.31.t1	11.69882318	9.541044059	13.79527906
gbr.247.28.t1_gbr.247.25.t1	24.13380485	22.62450242	31.42993339
gbr.288.12.t1	20.91996143	18.34937581	23.63299524
gbr.303.19.t1	3.235509606	4.57901683	5.087980505
gbr.204.48.t1	16.09544759	8.842386022	11.28625746
gbr.288.11.t1	34.88007525	35.0823371	35.79147346
gbr.51.38.t1	0.286745579	0.028803218	0.142510623
gbr.277.22.t1	1.079313809	0.292805714	1.009943003
gbr.7.180.t1	66.68258296	57.90091641	62.65898906
gbr.99.13.t1	1.411755069	2.626313421	2.601383206
gbr.390.10.t1_gbr.390.11.t1	1.343201645	1.321987623	2.953911065
gbr.192.2.t1	7.435315843	6.496960635	8.57679616
gbr.216.3.t1	2.10434235	1.451916301	5.317383746
gbr.28.30.t1	18.80359778	20.36092836	22.49829973
gbr.81.87.t1	3.49403067	4.874648819	10.03877146
gbr.24.16.t1	10.38491576	7.524627053	16.28373791
gbr.102.33.t1	3.320434343	3.762749209	5.989024958
gbr.12.74.t1	2.863469673	3.103022001	5.861437439
gbr.2.170.t1	3.433217491	5.049068574	5.264529167
gbr.60.9.t1	16.86051222	18.33750541	21.66866264
gbr.182.65.t1	44.58603499	41.51589853	64.70802116
gbr.173.3.t1_gbr.173.4.t1	3.187919676	2.188774798	4.694860259
gbr.289.29.t1	1.52182745	0.987962138	1.344433046
gbr.231.26.t1	22.25798815	21.64566497	42.27566816
gbr.44.62.t1	5.075072302	3.490085577	5.93030057
gbr.21.4.t1	11.26425404	8.922086322	16.77402207
gbr.81.197.t1	7.413092577	7.242427155	11.55439736
gbr.77.97.t1	15.30743846	23.86509179	30.94357517
gbr.159.12.t1	5.348103806	7.710702361	5.964103799
gbr.24.15.t1	6.610654463	11.75145704	9.312187125
gbr.355.7.t1	7.728029024	7.916111143	13.32181146
gbr.49.51.t1	4.574270161	5.980087963	7.636641001
gbr.17.51.t1	3.468139895	2.092477222	4.597174606
gbr.9.89.t1	1.041319733	0.117127621	0.968322452
gbr.25.123.t1	21.40918204	15.35606524	47.22145834
gbr.1.144.t1	53.49000746	52.13920988	74.29660619
gbr.133.37.t1	5.028285173	10.95892563	11.00982597
gbr.135.55.t1	0.837184368	0.669590771	1.070883874
gbr.562.7.t1	0.633062577	0.786402673	1.398552723
gbr.281.21.t1	15.17141947	13.9108724	19.1587066
gbr.37.38.t1	13.36630062	12.9400523	14.02820975
gbr.8.34.t1	4.790763727	2.088559008	4.327564888
gbr.13.46.t1	3.749511524	4.446981899	8.124997185
gbr.59.15.t1	66.83479925	62.97679424	64.99380509
gbr.31.65.t1	6.67394678	4.866324306	4.293777413
gbr.41.25.t1	3.788539913	2.129731645	4.069487194
gbr.247.19.t1	13.24437033	10.63903368	10.64522878
gbr.100.54.t1	18.41969689	12.2399384	19.06073757
gbr.45.14.t1_gbr.45.15.t1	22.45363233	17.02847611	40.19233541
gbr.2.132.t1	1.186173043	0.934314895	1.56658368
gbr.88.13.t1	8.009743088	7.171531126	14.38137412
gbr.19.187.t1	6.441911	3.743411899	7.948456559
gbr.306.14.t1_gbr.306.15.t1	3.172426461	4.372978298	6.371134614
gbr.235.22.t1	16.45688311	19.72438065	11.27014046
gbr.156.48.t1	3.822353926	7.79175642	7.667630064
gbr.19.80.t1	6.192817527	6.387221348	9.918187088
gbr.39.46.t1	60.13077736	63.3433857	88.74230868
gbr.83.56.t1	4.122043585	3.872030854	6.566275905
gbr.81.89.t1	12.14036584	9.994130529	18.24364364
gbr.122.8.t1_gbr.122.9.t1	1.767910518	1.600638159	2.635118683
gbr.58.3.t1	112.5421005	88.4195379	98.50706891
gbr.24.17.t1	227.0225466	168.4556871	204.0553008
gbr.242.10.t1	1761.578886	1831.498292	1917.078248
gbr.717.1.t1	3.450749797	3.909515725	4.108589771
gbr.312.18.t1	21.58670648	17.95671401	14.28526403
gbr.47.21.t1_gbr.47.23.t1	0.421021531	0.230846944	0.468002635
gbr.146.11.t1	1.535925377	2.96665906	3.223961201
gbr.245.14.t1	11.67030326	11.24823778	12.81525761
gbr.117.45.t1	42.1815848	52.69709367	70.50828393
gbr.68.4.t1	22.1491936	14.59170277	20.8797399
gbr.154.26.t1	3.032763403	3.235190548	8.275397566
gbr.264.34.t1	40.742481	40.76577003	56.56707577
gbr.76.82.t1	4.020352959	5.122127008	6.10094464
gbr.97.32.t1_gbr.97.34.t1	1.593735556	1.553520067	2.503527717
gbr.12.115.t1	9.839268082	5.815659352	19.19187184
gbr.90.91.t1	5.782149881	8.143581396	4.780776603
gbr.47.30.t1	4.993043751	5.980586371	8.362864926
gbr.34.5.t1	21.9737357	17.93711021	23.19664002
gbr.613.3.t1	26.65541115	34.89340378	50.2125517
gbr.149.15.t1	1.613997221	1.345656053	3.814327678
gbr.306.17.t1_gbr.306.18.t1	5.447902476	4.89504043	9.000466267
gbr.183.30.t1	2.086252334	3.198876954	4.955086187
gbr.333.13.t1	5.31390996	6.497525827	7.723084134
gbr.242.29.t1	3.311058942	1.888479599	4.630289365
gbr.109.19.t1	26.3519936	23.82155769	28.16923536
gbr.12.26.t1	0.855413445	2.420500879	1.258778786
gbr.27.38.t1	555.4489107	437.5300086	286.9100784
gbr.35.3.t1	0.63848018	1.246495611	0.739064657
gbr.9.70.t1	5.609158289	7.065548788	7.491330336
gbr.240.11.t1	9.040278161	3.889181403	13.18758493
gbr.177.34.t1	15.06430426	23.71179833	23.88513454
gbr.19.31.t1	5.964352298	14.18721276	7.945109599
gbr.36.65.t1_gbr.36.66.t1	0.713915504	1.296902184	0.886823504
gbr.441.2.t1	5.948839416	8.352709542	9.435488784
gbr.109.14.t1	9.39437408	9.177043586	12.12550602
gbr.214.13.t1	151.1858251	106.5324738	172.2251893
gbr.336.8.t1	0.307600385	0.003703861	0.504302656
gbr.24.8.t1	6.906325197	7.350668342	8.611396547
gbr.402.4.t1	3.302473636	3.634935071	5.375082301
gbr.76.86.t1	9.977422699	7.689153199	9.907487675
gbr.596.6.t1	50.5203228	42.82078859	49.7603068
gbr.115.4.t1	12.85223859	12.08830661	12.98152211
gbr.66.43.t1	24.2530759	21.30188511	24.92749331
gbr.41.69.t1	41.24283831	51.23229413	65.35139869
gbr.30.61.t1_gbr.30.63.t1	0.495758782	0.182725196	0.188444632
gbr.411.15.t1	6.354522014	6.872687908	10.48548965
gbr.102.38.t1	1.187283037	1.904474301	2.051627132
gbr.25.122.t1	24.5107907	28.98348966	39.123618
gbr.186.11.t1	4.436490175	4.493477905	7.198216252
gbr.25.79.t1	1.049572977	0.996482141	1.000836969
gbr.164.6.t1	8.280658179	8.129166817	8.483110493
gbr.237.12.t1	0.661658699	0.616728977	1.151074113
gbr.3.193.t1	3.959195622	2.781307586	2.721629756
gbr.25.224.t1	184.9380271	165.8508069	298.206271
gbr.288.4.t1	4.176756386	5.724221071	6.77101307
gbr.98.90.t1	28.62613663	22.97231112	37.88057328
gbr.80.20.t1	240.4686031	151.1097895	179.4323392
gbr.90.109.t1	1.513717414	0.428455671	3.827678956
gbr.429.3.t1	286.4547853	238.8115464	322.3387387
gbr.169.24.t1	1.440512989	1.174524297	1.823600776
