Sample:	RNf	RNm	RNw
gbr.32.106.t1	5.171453124	11.05545977	0.700523809
gbr.5.12.t1	13.02645067	19.95940093	4.333430216
gbr.3.3.t1	3.297222539	6.442489155	0.273013121
gbr.43.13.t1	7.314165563	10.85106372	2.424230455
gbr.54.47.t1	3.385433273	7.498982159	0.472086339
gbr.149.6.t1	2.711489073	4.856100679	0.340384824
gbr.204.24.t1	7.863496321	2.733973566	3.811101718
gbr.93.40.t1	242.2844553	250.8678078	112.9840527
gbr.110.4.t1	50.19610963	79.82296204	19.59360638
gbr.375.8.t1	22.90739711	22.83226994	10.11529708
gbr.81.204.t1	2.48177453	6.803308414	0.420314307
gbr.31.93.t1	6.069106758	22.49597671	1.323423792
gbr.109.26.t1	2.746560777	4.436881577	0.2070661
gbr.163.9.t1_gbr.163.10.t1	31.04257099	35.77474761	18.00727118
gbr.2.233.t1	2.861165508	7.771288018	0.335668078
gbr.134.40.t1	278.9598717	330.9824897	175.29121
gbr.140.35.t1	38.79061181	61.30084415	26.03648682
gbr.181.33.t1	45.02026697	85.40637965	22.43017216
gbr.4.113.t1	13.54442745	36.14940569	3.277806088
gbr.58.118.t1	3.761821679	5.910724015	0.660144893
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	1.942872015	1.902757482	0.915217128
gbr.242.3.t1	29.42138572	71.48034254	7.025323032
gbr.27.43.t1	2.379482253	5.786549708	1.346622356
gbr.457.8.t1_gbr.457.9.t1	8.414674274	16.93860661	0.852691803
gbr.199.24.t1	12.5029642	15.00059431	9.995726966
gbr.324.16.t1	10.51324303	18.88363505	3.081142442
gbr.39.28.t1	12.12121457	15.78331073	7.729247699
gbr.86.7.t1	7.657650148	15.91967426	1.756585553
gbr.241.15.t1_gbr.241.16.t1	7.384950839	8.818133265	2.895154479
gbr.476.10.t1	29.49436572	25.75423943	2.113055509
gbr.27.55.t1	16525.30008	23053.27802	5955.016427
gbr.342.7.t1	7.659057165	19.71376132	2.503193147
gbr.411.1.t1	4.300654963	4.379072563	0.609337218
gbr.50.45.t1	65.10007729	167.2453565	11.58718677
gbr.70.63.t1	4.209959973	7.559268404	1.446574448
gbr.17.35.t1	2.674166473	8.325460035	0.558774616
gbr.58.97.t1	0.991798155	2.631750719	0.331758581
gbr.39.70.t1	9.50205171	13.21284219	1.428179825
gbr.8.90.t1	0.665139509	1.103604167	0.106456388
gbr.157.34.t1	6.197140353	6.908346111	0.637810588
gbr.6.228.t1	4.685746705	7.765586078	0.866871505
gbr.330.9.t1	0.966269103	1.436688623	0.239093846
gbr.72.30.t1	13.39015424	19.7713169	2.827540562
gbr.226.3.t1	9.398412988	16.89435708	2.56495814
gbr.47.67.t1	6.073507063	7.907943119	1.228374287
gbr.81.75.t1	2.571919795	4.020559631	0.717727697
gbr.110.82.t1	16.4408126	27.62028981	5.972613061
gbr.284.23.t1	4.432639608	6.948830396	0.494856515
gbr.73.54.t1	0.322589245	0.561046212	0.31428418
gbr.302.18.t1	4.83083816	4.02952375	2.331520938
gbr.405.13.t1	841.3921943	1662.716705	70.82680758
gbr.45.49.t1	5.913345169	10.48509539	1.465420004
gbr.167.19.t1	9.594680022	14.79425736	5.416357885
gbr.130.45.t1	24.29553383	32.44153379	13.44103758
gbr.6.159.t1	26.43022431	52.02706026	4.269313804
gbr.409.1.t1	1.520063034	3.020297033	0.402414512
gbr.84.4.t1	9.136859206	11.68523107	2.690155086
gbr.172.41.t1	43.71285388	55.91376545	24.04162059
gbr.59.34.t1	7.518359667	9.535650693	4.511784628
gbr.108.17.t1	31.65866681	62.70914325	8.829030506
gbr.3.13.t1	22.19032258	28.49530512	13.06290132
gbr.360.11.t1	0.755138584	3.038493592	0.252961274
gbr.3.85.t1	7.815528723	11.00400432	1.457950536
gbr.32.56.t1	214.5106152	306.5483067	88.06136608
gbr.211.13.t1	1.501606918	5.401975392	0.44808482
gbr.270.3.t1	23.80219194	42.33347794	26.93297426
gbr.17.63.t1	471.3124456	826.0211297	195.7843058
gbr.343.15.t1	0.600572113	2.746708041	0.137702376
gbr.142.65.t1	2.459525042	4.666069274	0.818099898
gbr.488.1.t1	15.35183254	28.99128763	1.278513206
gbr.136.37.t1	4.541892475	6.868081296	1.454327165
gbr.105.28.t1_gbr.105.26.t1	14.36237174	21.75074728	5.748690274
gbr.41.15.t1	3.556619607	19.47029671	0.909732569
gbr.43.3.t1	13.16631161	22.72652314	8.046354607
gbr.224.3.t1_gbr.224.5.t1	3.242858625	5.267180009	0.386953934
gbr.243.7.t1	3.24429493	7.304940064	2.072494998
gbr.345.3.t1	4.913999438	8.827379732	1.297455426
gbr.478.5.t1	2.48694581	4.344356982	0.836213716
gbr.5.31.t1	2.900684776	3.908858385	0.87523782
gbr.309.23.t1	9.713722168	10.80725343	1.421865662
gbr.56.17.t1	23.48718782	39.23038175	4.035989078
gbr.10.30.t1	1.02802161	3.006147852	0.226036374
gbr.5.102.t1	53.61248607	272.4592591	61.52999184
gbr.137.24.t1	38.62062857	48.24426896	21.66484252
gbr.102.3.t1	1.523430561	2.372002716	0.27603595
gbr.105.37.t1	1.418592322	2.667119565	0.173887117
gbr.58.50.t1	13.79754635	48.91383233	1.243990699
gbr.830.1.t1	3.461311534	4.175113382	0.539229373
gbr.53.32.t1	5.640076153	24.87455828	2.410041749
gbr.31.79.t1	4.078785113	7.98896207	1.781076747
gbr.37.84.t1	3.528514786	7.065755629	0.971393813
gbr.2.9.t1	3.829106445	7.267765852	1.289224729
gbr.47.44.t1	20.90090861	51.72605295	3.701264182
gbr.75.83.t1	13.92597149	50.81578933	2.604146217
gbr.141.31.t1	6.923834927	7.488385704	3.259695061
gbr.108.21.t1_gbr.108.19.t1	4.811116921	4.294145341	1.346865396
gbr.112.9.t1	6.942900886	10.65309737	1.35122867
gbr.21.63.t1	9.851661136	9.653835894	6.678445348
gbr.350.22.t1	8.383930662	16.023073	2.224960401
gbr.174.23.t1	13.99443053	18.49307503	4.760611423
gbr.6.31.t1_gbr.6.33.t1_gbr.6.28.t1	14.92239325	18.26490246	7.644111249
gbr.7.47.t1	10.10680497	20.60929328	3.099109315
gbr.101.9.t1	1.942065171	2.932802299	0.427424845
gbr.72.72.t1	11.06670256	29.55166642	5.007508734
gbr.51.11.t1	7.497168066	3.815384938	0.837998715
gbr.63.51.t1_gbr.63.52.t1	3.813026317	7.435044172	1.553371767
gbr.451.3.t1	4.493083148	7.702389074	1.034566734
gbr.489.4.t1	0.802588511	1.559708324	0.109376818
gbr.89.37.t1	1.203278332	2.158969808	0.38482415
gbr.127.25.t1	4.449210479	7.220827226	1.33652891
gbr.2.239.t1	6.233364615	12.09829014	1.0315357
gbr.139.28.t1	4.948289123	6.175857864	1.23544755
gbr.37.104.t1	10.88636189	24.14462082	2.527219303
gbr.262.4.t1	2.331473739	7.375762427	0.706047271
gbr.4.15.t1	10.89962	23.44528382	3.87632475
gbr.208.46.t1	2.251358049	2.888654626	1.142903625
gbr.442.14.t1	1.748455882	2.975482939	0.361492333
gbr.71.18.t1	3.729121055	9.432336063	0.442585545
gbr.221.49.t1	161.9379773	247.3769502	87.69658374
gbr.221.83.t1	5.641140577	14.9994732	1.0325125
gbr.139.84.t1	5.060385386	7.613782308	2.240167185
gbr.123.1.t1	19.94229369	28.53001032	16.50652762
gbr.412.2.t1	9.915523079	17.99899297	4.67224067
gbr.24.3.t1	0.680195532	2.072590986	0.243725091
gbr.162.15.t1	17.90769226	35.21586724	3.210080677
gbr.488.18.t1	3.620181815	5.232381364	1.547908751
gbr.230.9.t1	12.3045667	24.74283947	4.158838717
gbr.5.4.t1	7.814788177	11.17307909	1.945050421
gbr.40.16.t1	5.940386938	7.721781254	1.620447752
gbr.8.23.t1	2.084763222	2.72283873	0.360208248
gbr.126.32.t1	4.211909841	6.95332825	2.302519421
gbr.130.1.t1	55.06879157	53.00701743	38.16024564
gbr.50.5.t1	4.653419593	8.527572437	1.098782005
gbr.512.18.t1	1.426738621	3.858000474	0.155801754
gbr.53.29.t1_gbr.53.30.t1	5.763983341	8.039981	2.528472044
gbr.23.57.t1	2.483959623	5.269461065	0.441143952
gbr.4.28.t1_gbr.4.27.t1	5.78187519	8.271819274	1.327125872
gbr.163.49.t1	2.786455271	3.518548153	0.591290965
gbr.35.50.t1	5.776556815	6.594837903	1.692989523
gbr.58.64.t1	31.65409829	41.39823068	18.34877068
gbr.94.50.t1	183.6468605	216.1483814	115.5233676
gbr.194.38.t1	1.720704578	1.756990727	0.423563785
gbr.30.15.t1	1.057363702	1.549092689	0.10297629
gbr.696.4.t1	30.91489731	76.18125911	6.905909999
gbr.176.12.t1_gbr.176.13.t1	17.17343079	24.84477254	2.223366336
gbr.14.116.t1	614.6432769	628.6685532	611.6803027
gbr.149.12.t1	1.974801532	2.975418994	0.231267622
gbr.291.1.t1	28.05513617	36.41291892	20.42551433
gbr.515.6.t1	3.915341488	6.583671104	0.394479956
gbr.64.89.t1_gbr.64.88.t1	13.76170717	17.6690954	7.853235161
gbr.33.32.t1	37.542186	56.77678959	22.91688668
gbr.134.38.t1	29.29086005	46.6162976	7.096582569
gbr.62.31.t1	3.259989861	5.350616837	0.394176141
gbr.513.23.t1	10.17472937	11.37338	4.604642578
gbr.8.72.t1	9.111763512	29.54099052	3.146792484
gbr.595.5.t1	2.478634569	4.796417568	0.642742441
gbr.2.126.t1	1.113121414	3.888134902	0.294873752
gbr.31.52.t1	1.889841969	4.219715585	0.290634891
gbr.147.33.t1	4.172118397	5.792338368	0.973959171
gbr.35.104.t1	53.36738955	52.60165947	28.53255899
gbr.149.27.t1	5.80601571	7.284480215	1.285246037
gbr.19.195.t1	25.56455782	59.41574747	10.698507
gbr.304.13.t1	3.637458158	6.312145295	1.752396209
gbr.254.2.t1	11.42716473	13.04548358	1.431966849
gbr.52.71.t1_gbr.52.72.t1	6.676684639	9.9825675	3.794605156
gbr.119.25.t1	386.3190916	584.0150877	107.3130437
gbr.108.26.t1_gbr.108.27.t1	34.99524624	47.85417111	19.38844216
gbr.7.84.t1	64.67043506	80.58055808	38.87397813
gbr.132.7.t1_gbr.132.8.t1	19.1341543	26.6516133	5.522933792
gbr.29.59.t1	10.470354	12.73014161	0.150784725
gbr.480.11.t1	6.458551806	12.24070231	0.445660109
gbr.262.3.t1	2.663402163	3.744683908	0.674188053
gbr.114.3.t1	7.733529807	13.55174496	2.240080172
gbr.76.113.t1	36.57854151	54.57026116	9.684674027
gbr.111.14.t1_gbr.111.16.t1	7.823367113	11.24808184	4.602825054
gbr.232.16.t1	2.239112431	2.889607514	0.501609001
gbr.364.19.t1_gbr.364.18.t1	1.483221906	2.115783459	0.403153972
gbr.55.67.t1	6.041520178	5.75069048	1.008681227
gbr.111.57.t1	3.860332965	5.486258828	0.870593259
gbr.414.8.t1	2.1337395	2.945972365	0.451569972
gbr.151.61.t1	18.91861005	19.89611563	11.12620593
gbr.98.2.t1	0.2682791	0.291725667	0.02894965
gbr.254.20.t1	3.6632755	4.509877701	0.742184445
gbr.322.10.t1	0.303923682	0.504198404	0.09487964
gbr.37.122.t1	64.15274819	87.87193872	19.78876103
gbr.71.15.t1	164.7380544	257.9850135	25.34383299
gbr.75.33.t1	17.9948413	32.31500292	8.863095877
gbr.84.14.t1	10.74207275	15.84712909	3.197463407
gbr.405.4.t1	5.897873957	12.68432682	1.027364548
gbr.151.54.t1	10.48284703	22.6162968	2.443311029
gbr.203.25.t1	4.399178786	8.5469418	1.258826776
gbr.39.22.t1	1.121929441	2.777964605	0.27111211
gbr.42.2.t1	7.122814514	12.52623828	1.246332783
gbr.75.41.t1	10.42048343	14.55540925	2.046822625
gbr.113.11.t1	28.51189551	41.51155237	4.374709662
gbr.420.17.t1	35.2405524	106.6425126	2.482169977
gbr.38.52.t1_gbr.38.51.t1	42.48166028	72.95772631	15.71406347
gbr.59.5.t1	145.1254565	181.7148549	63.43141588
gbr.89.34.t1	14.55454757	19.70626095	4.34705815
gbr.696.5.t1	4.848189613	5.194776636	0
gbr.15.3.t1	8.334570691	11.63026046	0.399965369
gbr.356.15.t1	36.95784795	53.08236067	13.25076672
gbr.40.121.t1	30.84658113	51.91645029	6.371653521
gbr.5.112.t1	1.163989935	0.206302318	0.165722589
gbr.232.33.t1	2.661945039	4.806972275	0.442934351
gbr.385.8.t1	39.19757529	56.63916605	12.13945183
gbr.151.85.t1	3.955657056	11.42614269	0.717914472
gbr.71.21.t1	4.997835155	6.686772269	1.637107933
gbr.85.11.t1_gbr.85.12.t1	20.26404474	24.20284936	11.28691048
gbr.139.37.t1	17.48378682	30.45212265	2.460310279
gbr.1.11.t1	22.70915483	38.16095647	7.533898743
gbr.123.2.t1	17.29916488	23.97231898	2.831465957
gbr.33.81.t1	207.2979037	317.4874029	88.39157266
gbr.98.63.t1	3.90525403	2.861619209	0.221302173
gbr.108.30.t1	5.00313598	8.290133039	1.945844888
gbr.27.54.t1	30.67704002	40.03011009	6.792795673
gbr.49.42.t1	3.442763055	2.736215487	0.383727021
gbr.434.10.t1	82.08290096	122.1654863	18.70076267
gbr.323.15.t1	12.08215584	16.05328631	3.489884764
gbr.5.92.t1	50.49195743	63.17496606	24.73272249
gbr.8.46.t1	59.97579033	125.6601874	14.97168515
gbr.226.18.t1	11.55660294	32.48722448	1.101309504
gbr.72.77.t1	6.446306091	8.879266231	2.858241525
gbr.2.183.t1	1.552590436	2.045014768	0.140916963
gbr.1.177.t1	94.21652816	125.2056551	22.52910591
gbr.1.62.t1	3.092350866	9.423566288	0.726301184
gbr.174.34.t1	50.98934409	59.40015399	27.55833594
gbr.30.8.t1	8.892374789	13.17251924	4.684797161
gbr.182.47.t1	0.616131965	1.537044393	0.227241649
gbr.178.15.t1	5.326787555	11.37693043	1.007414396
gbr.24.54.t1	8.237167771	12.62511773	1.772635336
gbr.175.19.t1	1.887110726	3.955795548	0.245015893
gbr.468.32.t1	1.751125886	1.515953448	1.111579228
gbr.245.8.t1	4.939576832	6.899025618	0.967124013
gbr.249.27.t1	11.49152798	11.88377156	8.84273997
gbr.24.37.t1	2.343345664	3.131260108	0.125167448
gbr.279.25.t1	1.710745958	0.419315442	0
gbr.108.31.t1	66.98637035	104.4850926	12.7645302
gbr.17.96.t1	21.84636118	25.34248563	3.143672458
gbr.225.54.t1	10.51637599	4.076403723	2.15990948
gbr.26.51.t1	12.09611206	20.30478426	3.549757836
gbr.149.25.t1_gbr.149.22.t1	3.52216234	5.747716119	1.075439393
gbr.723.2.t1	8.062408584	42.14332416	1.695822184
gbr.19.23.t1	2.702528995	3.609112349	0.438836646
gbr.530.10.t1	2.242713447	6.045644464	0.475058973
gbr.58.92.t1	35.2093148	56.97663571	45.45588176
gbr.107.2.t1	1.564483274	1.734912095	0.024598075
gbr.204.31.t1	5.181133425	12.01105532	1.1988788
gbr.24.1.t1	12.20210843	25.14899212	2.294001785
gbr.372.11.t1	3.567137454	4.564961722	0.166373102
gbr.80.39.t1	78.36582663	110.1605868	14.14091477
gbr.222.13.t1	41.11117787	59.0365069	17.54470742
gbr.78.15.t1	1.320074532	5.7418021	0.200800715
gbr.109.29.t1	16.64123964	23.81116579	7.188121397
gbr.142.34.t1	3.406918215	5.473257636	0.268447726
gbr.143.31.t1	46.56509865	57.92295674	17.49080561
gbr.104.49.t1	45.69444671	87.25928238	7.129725066
gbr.129.19.t1	7.757491827	10.76171815	1.212064397
gbr.485.17.t1	1.908195188	3.381114844	0.565325285
gbr.40.139.t1_gbr.40.140.t1	2.60229055	3.505914736	0.838199863
gbr.450.8.t1	226.5007346	353.3195265	93.51971788
gbr.11.122.t1	1616.267827	2410.393242	1048.872714
