Sample:	TFf	TFm	TFw
gbr.60.36.t1	30.33314461	28.29487981	31.59531744
gbr.447.33.t1	40.17318205	31.33183869	6.817816427
gbr.208.19.t1	16.1688767	11.07187215	1.468974895
gbr.233.7.t1	28.83311699	23.68906273	19.83134935
gbr.370.26.t1	13.36510012	10.18916526	8.264192577
gbr.140.36.t1_gbr.140.37.t1	43.93902473	33.22275369	41.67405484
gbr.55.60.t1	47.27400755	37.92984622	28.03221663
gbr.2.97.t1	5.120042422	4.573150451	3.077861531
gbr.46.33.t1	22.62655623	11.26174705	6.356129694
gbr.394.10.t1	14.20182235	11.70578762	8.288089274
gbr.72.85.t1	52.46537595	40.03748498	22.66948793
gbr.36.44.t1	37.10682145	41.74185817	31.83644869
gbr.2.186.t1	217.5180394	109.8159606	58.21455356
gbr.34.77.t1	16.82075191	13.44608577	5.972716448
gbr.154.21.t1	182.6131346	109.5711857	70.95844615
gbr.139.56.t1	27.26278412	19.5525824	20.97247817
gbr.374.5.t1	21.14381974	10.78393902	8.192913628
gbr.4.53.t1	24.00012814	21.43117409	9.1708286
gbr.261.15.t1_gbr.261.17.t1	11.62292662	7.498482167	2.437359646
gbr.107.24.t1	31.02129858	31.41357157	26.55989452
gbr.41.49.t1_gbr.41.50.t1	5.487734209	3.006329474	3.336219896
gbr.283.40.t1	10.12576763	8.14616548	6.630429145
gbr.151.8.t1	14.02110315	5.960771013	2.217701712
gbr.81.81.t1	31.14671305	22.12839057	15.28797062
gbr.135.42.t1	7.295529328	6.530143974	5.938382822
gbr.154.12.t1	32.56671443	33.37846691	23.24385603
gbr.16.27.t1	88.61681968	78.75928617	48.88061831
gbr.35.18.t1	740.2422302	602.8505817	364.7975412
gbr.28.63.t1	15.15282743	15.28922523	14.68512171
gbr.435.4.t1	21.8613672	17.80195481	9.824772568
gbr.367.14.t1	2.619870774	1.073076418	1.200670214
gbr.104.21.t1	4.219084948	7.265572927	1.227433915
gbr.37.93.t1	27.11935496	23.47866275	6.445120276
gbr.134.8.t1_gbr.134.9.t1	22.04532267	23.58176001	16.47959261
gbr.151.26.t1_gbr.151.22.t1	21.63115064	13.4813521	10.80616028
gbr.164.22.t1	92.66843696	64.87287207	36.17574383
gbr.74.16.t1	4.536895719	3.44408525	2.522105416
gbr.659.5.t1	5.810775467	8.985148196	3.729763707
gbr.2.196.t1	17.94518801	10.04308254	5.767535831
gbr.39.38.t1	21.63462642	16.57128186	11.41271786
gbr.45.7.t1	6.540614341	5.107589513	1.74846042
gbr.171.2.t1	226.833876	127.7186226	178.1416952
gbr.156.3.t1	15.82119922	10.77011039	9.775848359
gbr.58.220.t1	13.35069919	6.355903875	3.166670441
gbr.257.19.t1	30.93279277	21.9177204	20.62529553
gbr.41.74.t1	1.830461388	1.711528843	1.30110577
gbr.120.44.t1	8.890830338	10.0957993	5.684052277
gbr.196.10.t1	129.3229632	100.8318374	83.18930764
gbr.314.25.t1	512.3425357	285.5266014	70.55056098
gbr.525.11.t1	2.875425697	2.068164711	0.484093935
gbr.334.11.t1	24.33787822	21.82384346	16.56968168
gbr.134.4.t1	3.804901255	4.585970734	1.717540022
gbr.90.139.t1	62.18516014	31.82014261	40.25118774
gbr.254.25.t1	499.358343	472.4384379	292.4950202
gbr.88.49.t1	7.786672116	6.745938699	6.075955781
gbr.415.14.t1	10.08169667	8.154460647	4.636397547
gbr.80.4.t1	24.4721386	18.35372505	19.43188893
gbr.1.211.t1	46.41657752	29.06648996	5.670224128
gbr.47.62.t1	16.60246122	14.81241849	11.40925251
gbr.480.9.t1	2697.617012	1214.985469	592.5605432
gbr.202.18.t1	22.78172699	19.62250897	15.57250515
gbr.58.114.t1	3.959849031	2.778286357	4.122419435
gbr.129.29.t1	17.81750613	14.652029	15.34373702
gbr.17.79.t1	2.042352315	1.595083703	0.329380027
gbr.19.1.t1	14.41882222	11.90165181	10.26236507
gbr.3.68.t1	15.42292572	14.80408563	12.11699691
gbr.1.39.t1	3.282702237	2.590388414	1.297438413
gbr.361.2.t1	1.374785188	1.358149245	0.697308832
