Sample:	All_female	All_male	All_wtr
gbr.72.85.t1	23.3849762	20.90492575	18.43758316
gbr.72.96.t1	7.163310745	6.967825494	5.715236574
gbr.723.2.t1	42.51650355	63.36468031	15.2087257
gbr.725.1.t1	43.59103175	115.2147232	68.88591187
gbr.73.36.t1	26.84714802	20.22448519	15.19821921
gbr.73.54.t1	3.039429397	3.676798657	2.341079724
gbr.737.2.t1	3.847211213	3.537471357	2.356175961
gbr.74.1.t1	7.498738236	7.190985766	4.713402366
gbr.74.12.t1	6.855265662	6.074680305	3.757336561
gbr.74.16.t1	3.253322898	2.933543449	2.664476572
gbr.74.21.t1	22.32613391	22.12050593	15.91197257
gbr.74.34.t1	6.04584513	4.406669529	2.684000718
gbr.74.35.t1	7.4761078	4.464547643	2.971360829
gbr.74.9.t1	12.24246603	14.34800299	8.769818679
gbr.740.3.t1	7.372283577	7.240789077	5.11630479
gbr.75.116.t1	229.0728409	97.26431376	84.32394278
gbr.75.129.t1	2.985145905	2.942610402	1.681140737
gbr.75.33.t1	44.41125594	45.99888078	40.32783015
gbr.75.41.t1	8.087013	8.993830573	5.776341443
gbr.75.46.t1_gbr.75.47.t1	11.64415604	12.49053414	6.407822846
gbr.75.49.t1	27.06463175	36.75932097	14.05105146
gbr.75.75.t1	275.0237832	275.1090199	142.7134026
gbr.75.76.t1	5.125631718	3.872068569	2.98027487
gbr.75.83.t1	11.74992167	17.676701	7.417099899
gbr.75.88.t1	3.640538731	4.593639958	4.191334919
gbr.75.9.t1	309.948	218.4206237	189.5205492
gbr.76.102.t1	35.44598111	26.19397995	16.10965744
gbr.76.104.t1	22.46990968	14.86565074	10.34537643
gbr.76.105.t1	64.15693691	24.98145984	1.884786665
gbr.76.113.t1	8.288462599	9.681035124	4.346306178
gbr.76.19.t1	78.63845875	59.64520994	52.89150278
gbr.76.36.t1	16.30176213	13.43551615	8.094279657
gbr.76.42.t1_gbr.76.43.t1	39.34737138	38.49723676	29.17396784
gbr.76.47.t1	2.191770927	4.323270262	1.96821908
gbr.76.66.t1	2.737978336	2.439052216	1.630124651
gbr.76.82.t1	12.24668986	12.89140893	5.750136335
gbr.76.84.t1	5.784363235	5.110641282	3.909745738
gbr.76.86.t1	12.73842835	13.13568383	9.545967867
gbr.76.92.t1	24.59574251	23.25475597	17.74677457
