Sample:	Cof	Com	Cow
gbr.17.51.t1	2.125424438	0.668815858	0.331003473
gbr.9.89.t1	7.184494225	8.588744795	0.959351353
gbr.25.123.t1	31.56327886	34.35585227	29.98687913
gbr.1.144.t1	155.8033893	125.9117946	40.33098554
gbr.133.37.t1	6.814861879	1.571418494	1.007925935
gbr.135.55.t1	0.848301837	0.203270767	0
gbr.562.7.t1	0.65986049	0.197802537	0.09355838
gbr.281.21.t1	4.061264949	2.616808763	5.066547699
gbr.37.38.t1	5.711068428	5.426130242	5.110967692
gbr.8.34.t1	1.234909625	1.037786268	0.320783303
gbr.13.46.t1	0.668927968	0.615200444	0.271409987
gbr.59.15.t1	15.9308978	16.64247188	15.86607636
gbr.31.65.t1	2.627796377	3.92242346	0.935179948
gbr.41.25.t1	7.938722364	1.961376409	0
gbr.247.19.t1	7.087050333	4.773103943	2.125851954
gbr.100.54.t1	7.047594644	6.803099447	5.348698295
gbr.45.14.t1_gbr.45.15.t1	13.57424556	4.32170824	5.354956546
gbr.2.132.t1	5.742783608	4.172818522	0.876687646
gbr.88.13.t1	3.736072818	2.392836496	1.24505787
gbr.19.187.t1	3.672908607	1.619380615	0.989441625
gbr.306.14.t1_gbr.306.15.t1	4.473067743	2.44386916	1.545033525
gbr.235.22.t1	5.232786197	5.578085372	4.830900153
gbr.156.48.t1	6.848644519	2.761361167	6.840613743
gbr.19.80.t1	3.414025629	0.829810946	1.283343872
gbr.39.46.t1	43.22011307	37.81398047	5.443985977
gbr.83.56.t1	7.835371895	5.078796624	1.567844243
gbr.81.89.t1	20.24301905	7.379397405	1.67446134
gbr.122.8.t1_gbr.122.9.t1	0.897884255	0.347918549	0.157668706
gbr.58.3.t1	47.32973749	33.09220477	28.33903324
gbr.24.17.t1	76.19841329	68.1938812	56.18894736
gbr.242.10.t1	1749.031104	1501.891406	863.2886415
gbr.717.1.t1	2.405456603	4.363507279	0.932492326
gbr.312.18.t1	9.692987457	11.54031691	10.28746768
gbr.47.21.t1_gbr.47.23.t1	0.18034531	0.115913889	0.067462893
gbr.146.11.t1	0.752340748	0.41359467	0.070257178
gbr.245.14.t1	1.340781889	0.408226208	0.533159961
gbr.117.45.t1	23.54996585	9.87650838	22.05810015
gbr.68.4.t1	23.13781982	17.10790785	5.732648371
gbr.154.26.t1	8.033345089	4.469786919	2.147869552
gbr.264.34.t1	21.1842193	18.96308098	21.49151232
gbr.76.82.t1	5.427672499	1.852885987	2.516554653
gbr.97.32.t1_gbr.97.34.t1	0.928020973	0.437399141	0.295847836
gbr.12.115.t1	0.780988563	0.312640443	0.518115561
gbr.90.91.t1	3.77581356	1.421804309	0.237774343
gbr.47.30.t1	2.513731393	0.66423495	0.467147331
gbr.34.5.t1	18.98165941	13.66060498	4.55133903
gbr.613.3.t1	9.913441826	3.951322869	3.713772487
gbr.149.15.t1	0.325234608	0.19764286	0.173929887
gbr.306.17.t1_gbr.306.18.t1	1.831873725	0.598762961	0.754956797
gbr.183.30.t1	2.092458652	0.347090034	0.25736031
gbr.333.13.t1	4.874637263	2.002191391	0.990939938
gbr.242.29.t1	2.303156098	1.865153722	0.484621175
gbr.109.19.t1	22.64137525	11.58088991	5.246034764
gbr.12.26.t1	0.791242828	0.183218409	0
gbr.27.38.t1	725.9724806	921.947948	295.0496101
gbr.35.3.t1	0.363285785	0.207460985	0
gbr.9.70.t1	8.651325933	5.943505829	1.220321143
gbr.240.11.t1	1.031799942	2.728209326	0.692618903
gbr.177.34.t1	20.12262201	4.723188547	1.670071256
gbr.19.31.t1	15.75920941	3.488598068	6.250871528
gbr.36.65.t1_gbr.36.66.t1	2.486704734	0.406628587	0
gbr.441.2.t1	2.259801644	2.625936421	0.967397426
gbr.109.14.t1	5.757661724	4.653693566	4.284137791
gbr.214.13.t1	4.980799979	2.27926683	5.237148141
gbr.336.8.t1	0.087501088	0.038405304	0
gbr.24.8.t1	3.280798004	0.864128448	1.396406502
