Sample:	Paf	Pam	Paw
gbr.21.1.t1	19.64933873	30.34404755	17.46549613
gbr.38.22.t1	6.695245096	6.774317316	5.164398804
gbr.32.106.t1	19.45328395	31.29355197	14.83128198
gbr.5.12.t1	27.73042584	22.30214471	18.29168602
gbr.3.3.t1	1.235504916	2.833654632	1.419080674
gbr.43.13.t1	28.32438513	35.50000114	29.38292963
gbr.54.47.t1	10.65077757	10.40965683	8.448286506
gbr.149.6.t1	9.082630457	9.962761881	8.393598939
gbr.204.24.t1	8.926472773	23.25122944	3.769748984
gbr.93.40.t1	39.81896835	50.38331944	25.90526317
gbr.110.4.t1	67.95158442	101.732903	61.38419579
gbr.375.8.t1	27.59986761	27.90933528	30.51551508
gbr.81.204.t1	9.432708444	8.77979812	8.514246801
gbr.31.93.t1	7.074225824	6.42649808	4.325423969
gbr.109.26.t1	3.468207783	5.42961246	3.017333621
gbr.163.9.t1_gbr.163.10.t1	20.60262851	16.48622265	15.65482832
gbr.2.233.t1	3.247884491	4.618775162	2.159390631
gbr.134.40.t1	88.93196684	97.16142145	83.61928064
gbr.140.35.t1	57.90062796	62.26702417	64.94510144
gbr.181.33.t1	143.6415115	189.6364391	132.0023238
gbr.4.113.t1	7.706632777	7.074278136	5.460878279
gbr.58.118.t1	16.94292939	20.67126087	15.29243094
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	5.820444724	7.799477578	6.22927319
gbr.242.3.t1	25.61376006	35.69458773	19.11859928
gbr.27.43.t1	7.670109387	6.857947989	4.871080674
gbr.457.8.t1_gbr.457.9.t1	7.42941058	9.63412128	7.369937651
gbr.199.24.t1	33.54855039	42.56779686	29.30836816
gbr.324.16.t1	28.72521303	37.99997995	25.94190686
gbr.39.28.t1	12.18290792	14.95978964	13.55532772
gbr.86.7.t1	0.150168963	0.24086009	0.28307286
gbr.241.15.t1_gbr.241.16.t1	11.95157234	12.39916382	9.560056984
gbr.476.10.t1	118.5590289	153.8751017	62.83965736
gbr.27.55.t1	8796.584523	8760.495967	8319.330184
gbr.342.7.t1	13.76211805	14.43056369	4.73575511
gbr.411.1.t1	10.63067888	15.05076892	10.06497641
gbr.50.45.t1	547.9475001	625.8597298	378.4083277
gbr.70.63.t1	3.208059534	4.114914279	2.870026567
gbr.17.35.t1	15.59444736	20.42298437	13.69125998
gbr.58.97.t1	4.903724797	7.064972138	2.723206347
gbr.39.70.t1	18.07223395	26.43468896	16.54752069
gbr.8.90.t1	4.609278392	5.407947206	3.751338533
gbr.157.34.t1	2.374838478	4.928030711	2.604672044
gbr.6.228.t1	14.68677001	16.65591369	12.20371741
gbr.330.9.t1	8.547172208	11.14781853	7.882434495
gbr.72.30.t1	15.70175064	22.90655488	14.99511998
gbr.226.3.t1	31.46965292	31.81637907	33.56932745
gbr.47.67.t1	6.704364792	8.411023404	5.910198336
